id,sex,age,height,weight,income,education,confession,children,happiness,fitness,food,alcohol,tattoos,rhine,datause,consultations,hiking,fasnacht,eyecor
86,female,64,158.7,68.2,8500,obligatory_school,evangelical-reformed,2,7,5,1280,10,3,3,85,6,45,no,yes
87,female,37,165.9,NA,5400,apprenticeship,catholic,3,7,4,620,0,8,2,78,5,70,no,yes
88,male,31,177.4,59.6,4300,SEK_III,muslim,1,6,7,-40,49,3,1,65,5,59,no,yes
89,male,77,175.2,93.8,12700,apprenticeship,confessionless,3,6,7,1160,48,0,5,80,4,51,no,yes
90,male,60,186,79.7,NA,SEK_III,evangelical-reformed,2,7,4,NA,34,2,3,85,6,72,no,yes
91,male,31,168.1,80.1,5600,apprenticeship,NA,2,7,6,960,12,5,1,68,3,21,no,yes
92,male,38,182.8,70.4,7700,apprenticeship,evangelical-reformed,3,8,5,690,43,0,5,58,2,51,no,yes
93,male,42,175.7,59.6,7100,SEK_III,evangelical-reformed,2,7,5,1090,0,0,0,106,3,32,no,no
94,male,28,183.2,98.9,2800,apprenticeship,catholic,1,7,3,360,42,4,6,88,3,109,no,yes
95,female,53,156.1,66.5,7500,apprenticeship,catholic,1,7,4,670,17,0,6,109,3,38,no,no
96,male,58,176.1,75.9,7e3,apprenticeship,confessionless,1,9,2,1090,0,11,5,114,4,29,no,no
97,male,31,178.3,NA,5100,SEK_III,confessionless,1,8,3,510,48,7,2,80,3,76,no,yes
98,female,31,162.8,68.1,4900,SEK_II,confessionless,3,10,2,500,22,5,2,87,4,60,no,yes
99,male,31,168.8,88.2,6100,SEK_III,catholic,2,7,3,600,50,6,0,74,5,97,no,yes
100,female,59,158.1,76.3,7700,SEK_III,evangelical-reformed,0,7,8,770,6,0,4,83,0,39,no,yes
101,male,21,199,NA,NA,SEK_III,evangelical-reformed,2,8,3,NA,53,4,5,91,4,70,no,yes
102,male,23,190.3,96.8,4500,apprenticeship,confessionless,1,5,6,-140,44,8,2,73,1,119,no,no
103,male,26,182.3,87.7,4500,SEK_III,NA,2,7,6,260,48,3,2,104,2,84,no,yes
104,male,62,173.9,79.3,8500,apprenticeship,NA,2,7,7,360,36,1,2,107,7,68,no,no
105,female,20,156.2,64.6,NA,apprenticeship,NA,1,10,5,NA,25,5,3,56,5,56,no,no
106,female,51,169.8,67.4,NA,SEK_III,catholic,1,5,8,NA,35,1,5,119,8,116,no,yes
107,male,31,183.4,NA,NA,apprenticeship,catholic,2,6,7,NA,40,0,6,67,3,31,no,yes
108,male,67,160.6,80.5,9500,apprenticeship,confessionless,2,7,7,860,62,1,4,55,3,16,no,no
109,female,24,193.8,NA,4100,apprenticeship,confessionless,2,6,7,650,33,0,6,105,6,52,no,yes
110,male,37,175.3,64.9,7e3,obligatory_school,catholic,2,6,2,780,54,3,3,73,2,37,no,no
111,female,57,155,65.3,9700,obligatory_school,evangelical-reformed,3,7,7,1200,0,2,2,90,6,59,yes,yes
112,male,41,180.6,92.5,8e3,apprenticeship,confessionless,1,9,7,1250,35,1,6,81,4,70,no,yes
113,male,38,175.6,81.1,6500,apprenticeship,confessionless,5,7,6,750,22,0,9,90,3,52,no,yes
114,male,57,170.6,81.4,8500,SEK_II,catholic,3,8,6,1e3,14,0,5,103,3,105,no,yes
115,male,64,167.4,99.4,11300,SEK_III,muslim,1,7,8,870,54,6,1,105,3,59,no,yes
116,female,46,146.2,64,6800,apprenticeship,catholic,1,6,7,610,16,4,7,105,5,23,no,yes
117,male,39,178.3,53.4,7800,SEK_III,confessionless,0,7,7,840,45,0,6,103,6,16,no,no
118,male,40,176.9,92.8,6100,apprenticeship,confessionless,3,7,3,790,24,4,3,130,4,40,no,yes
119,male,38,177.4,NA,7400,apprenticeship,catholic,3,8,6,920,68,0,6,68,4,95,no,no
120,male,43,179.8,87.5,7100,apprenticeship,muslim,3,5,7,450,43,0,1,85,5,39,no,yes
121,male,49,189.7,88.6,6800,obligatory_school,catholic,2,7,7,1330,0,6,9,66,1,19,no,no
122,male,54,180.4,63.2,9e3,apprenticeship,confessionless,2,10,5,1070,24,2,6,96,3,62,no,no
123,male,24,161.5,59.7,4400,SEK_III,confessionless,3,7,6,430,39,3,3,82,3,57,no,no
124,female,30,165,60.7,5400,SEK_III,NA,3,6,4,730,25,6,0,103,5,48,no,yes
125,female,29,158.7,71.9,6100,apprenticeship,catholic,2,7,3,810,35,5,6,50,6,44,no,yes
126,male,59,164.9,100.9,11200,SEK_III,NA,2,8,3,1530,0,1,4,66,2,31,no,no
127,male,36,173.2,85.2,NA,SEK_III,catholic,2,6,7,NA,42,1,7,80,3,69,no,no
128,male,26,164.2,92.2,2500,SEK_III,catholic,2,7,4,530,45,5,6,139,4,35,no,yes
129,male,43,167.9,96.2,NA,SEK_III,evangelical-reformed,1,5,7,NA,39,4,1,108,1,22,no,yes
130,female,64,174.7,NA,11e3,apprenticeship,muslim,3,6,5,1250,22,0,5,75,4,73,no,yes
131,male,72,187,92,NA,SEK_III,NA,2,5,4,NA,59,0,5,85,3,104,no,yes
132,male,47,161.9,97.5,7100,SEK_III,confessionless,3,7,5,400,56,2,4,112,2,9,no,yes
133,female,66,165.4,57.5,8900,SEK_III,confessionless,3,7,1,670,32,0,4,76,4,60,no,no
134,female,25,161.9,64.4,5400,SEK_II,confessionless,2,6,7,550,30,0,5,142,6,51,no,no
135,male,77,177.6,90.3,12100,apprenticeship,NA,3,7,6,920,28,0,4,83,4,37,no,no
136,female,33,167.4,51.7,4900,apprenticeship,NA,3,9,3,740,40,0,8,120,4,70,no,yes
137,male,31,174.2,90.1,4e3,SEK_III,NA,1,6,6,540,33,0,7,104,2,62,no,yes
138,female,69,164.2,64.7,10700,apprenticeship,catholic,1,8,5,690,36,4,6,83,1,58,no,no
139,male,50,189.6,77.5,5700,apprenticeship,NA,1,9,4,1110,22,4,4,74,3,56,no,yes
140,male,34,187.8,92,5700,SEK_III,evangelical-reformed,0,10,5,900,42,4,5,93,4,109,no,yes
141,male,31,164.2,92,6e3,apprenticeship,confessionless,1,8,7,1e3,0,0,7,78,4,54,no,no
142,male,49,185,82.6,9800,apprenticeship,catholic,3,7,6,480,48,0,8,119,5,85,no,yes
143,female,75,174.7,71.1,NA,apprenticeship,evangelical-reformed,1,7,5,NA,26,4,7,60,3,39,no,yes
144,female,20,163.3,72,3400,apprenticeship,NA,1,7,5,540,22,0,2,102,9,45,no,yes
145,female,69,166.6,61.1,10900,apprenticeship,muslim,0,6,4,1150,23,6,8,98,3,36,yes,yes
146,female,89,150.5,58.7,13400,SEK_III,catholic,2,7,3,1630,20,0,0,103,5,66,no,no
147,female,23,160,75.6,6e3,SEK_II,catholic,1,7,3,780,30,0,2,120,3,44,no,yes
148,female,49,172.7,61.6,11300,apprenticeship,confessionless,1,5,6,1510,15,0,6,128,8,43,no,yes
149,female,41,157.9,66.2,8500,SEK_III,confessionless,2,7,2,990,13,0,0,112,8,53,no,no
150,male,32,163.9,86.6,4700,obligatory_school,catholic,3,5,5,50,77,1,2,98,5,81,yes,yes
151,male,33,192.7,75.3,7e3,SEK_III,NA,2,8,5,900,45,0,6,96,3,22,no,yes
152,male,47,194.1,122.5,9600,SEK_III,confessionless,4,8,8,1050,8,5,0,106,4,56,no,yes
153,female,50,168.3,NA,7900,SEK_III,NA,2,5,6,370,27,0,4,116,5,45,no,yes
154,male,37,180.1,96.2,6700,apprenticeship,other,3,7,7,910,24,0,0,72,2,103,no,yes
155,male,61,153,100.5,NA,SEK_III,other,4,7,5,NA,35,0,0,99,5,74,no,no
156,female,62,166.2,58.1,8900,apprenticeship,NA,2,7,6,1310,11,0,0,88,2,63,no,yes
157,male,21,174.4,73.3,1200,SEK_III,evangelical-reformed,2,7,7,-90,47,0,8,74,2,119,no,no
158,male,30,186.6,87.2,6200,obligatory_school,NA,2,6,7,430,55,0,3,100,3,18,no,no
159,female,47,156.6,72.7,8400,apprenticeship,catholic,0,7,7,1160,0,0,6,76,6,50,no,no
160,female,87,172.5,57.3,13500,apprenticeship,NA,2,7,3,1360,40,0,3,96,6,77,no,yes
161,male,40,174.8,NA,7400,apprenticeship,muslim,3,7,6,970,16,2,4,86,5,71,no,no
162,female,68,153.9,NA,10900,apprenticeship,confessionless,2,9,7,1400,0,0,9,90,4,55,no,no
163,male,31,192.3,73.3,5600,SEK_III,confessionless,1,7,8,520,40,0,0,92,5,81,no,yes
164,male,58,180.8,93.9,NA,apprenticeship,confessionless,2,5,2,NA,0,3,4,78,4,50,no,no
165,male,31,172.2,99.2,NA,obligatory_school,NA,2,6,4,NA,34,0,3,74,4,74,yes,yes
166,female,58,165.6,63.1,10300,apprenticeship,confessionless,2,5,4,1310,10,0,6,112,4,56,no,yes
167,male,29,193.2,94.9,6500,SEK_III,NA,1,7,3,220,47,4,0,52,4,53,no,yes
168,female,19,158.1,NA,4200,apprenticeship,confessionless,0,7,4,670,13,0,4,114,3,34,no,yes
169,male,49,176.1,102,8200,apprenticeship,muslim,1,9,8,1070,48,0,6,77,5,39,no,yes
170,male,38,187.4,95.2,6100,apprenticeship,catholic,2,6,3,210,48,3,6,96,4,78,no,yes
171,female,19,177.1,62.2,4200,SEK_III,confessionless,3,7,7,730,0,3,4,86,2,34,no,no
172,male,37,161.2,69.5,8900,apprenticeship,NA,1,9,6,1e3,40,0,9,95,5,62,no,no
173,male,33,175.7,65.1,6300,apprenticeship,confessionless,1,5,2,400,54,1,0,98,2,63,no,yes
174,male,59,175.7,66.7,9600,SEK_III,NA,2,6,8,740,32,3,7,108,2,46,no,yes
175,female,71,163.2,57.2,12300,SEK_III,confessionless,1,7,2,920,26,5,6,113,8,67,no,no
176,male,47,165.5,72.3,8700,obligatory_school,muslim,2,7,6,1190,22,0,4,113,2,84,no,no
177,male,31,175.4,NA,6800,SEK_III,catholic,2,5,5,570,32,0,9,85,1,81,no,yes
178,female,44,159,65.9,6600,obligatory_school,confessionless,1,6,5,1040,5,0,2,94,5,87,no,yes
179,male,34,172.4,72.6,8800,SEK_III,confessionless,3,7,3,150,69,4,2,89,1,60,no,yes
180,female,39,165.9,68.1,5400,obligatory_school,catholic,3,7,6,530,46,6,3,115,6,52,no,no
181,male,37,175.8,95.7,6200,apprenticeship,confessionless,1,7,5,400,44,0,5,94,2,36,no,yes
182,male,57,159.5,NA,9700,SEK_III,evangelical-reformed,2,5,4,1040,41,4,0,76,2,44,no,yes
183,male,59,168.8,NA,10800,obligatory_school,other,1,7,9,980,36,0,7,59,4,24,no,yes
184,female,61,167.6,73.7,9800,apprenticeship,confessionless,2,8,5,900,45,5,7,64,7,39,no,yes
185,female,38,162.6,62.5,8e3,SEK_III,confessionless,0,8,1,840,38,0,3,72,8,42,no,no
186,male,82,158.6,101.2,11300,SEK_III,confessionless,0,7,3,1680,0,3,1,95,5,66,no,no
187,male,23,181.5,NA,5500,SEK_III,catholic,0,6,2,410,49,0,5,85,3,10,no,yes
188,male,37,193.6,95.5,6400,SEK_III,confessionless,4,5,5,390,37,0,7,75,3,37,no,no
189,female,50,173,60.4,6900,SEK_II,NA,3,8,4,950,39,0,5,105,3,89,no,no
190,female,47,156.6,60.6,8900,SEK_III,confessionless,1,7,4,570,43,3,5,69,4,71,no,no
191,male,36,195.4,85.3,4100,SEK_III,other,2,7,4,310,51,0,4,112,3,58,no,yes
192,male,30,170,67.9,NA,apprenticeship,catholic,3,6,5,NA,26,2,1,70,4,70,no,no
193,female,38,162.7,NA,NA,obligatory_school,catholic,2,7,3,NA,0,0,5,65,7,78,no,yes
194,female,29,177.5,68,5500,SEK_III,evangelical-reformed,4,9,8,560,22,7,6,50,8,58,no,yes
195,female,30,170.9,NA,5700,apprenticeship,confessionless,2,9,5,1210,0,1,7,75,7,44,no,yes
196,female,51,166.9,71,NA,SEK_II,NA,4,8,9,NA,19,0,0,67,4,68,no,yes
197,female,86,168,58.4,14e3,apprenticeship,NA,1,6,3,1470,0,0,3,95,7,32,no,yes
198,male,34,169.2,77,6100,SEK_III,evangelical-reformed,2,8,6,980,4,2,2,99,4,50,no,yes
199,female,31,153.9,61.3,NA,SEK_III,confessionless,2,7,7,NA,39,0,6,59,7,54,no,yes
200,female,39,162.5,66.2,6600,apprenticeship,evangelical-reformed,3,7,4,760,27,0,7,51,6,75,no,yes
201,male,50,163.6,81.3,NA,SEK_III,catholic,0,7,8,NA,44,6,3,118,7,29,no,yes
202,male,31,178.8,85,6400,apprenticeship,NA,3,7,5,360,43,3,6,108,4,78,no,no
203,male,26,177.1,71.4,3800,apprenticeship,catholic,2,9,5,810,35,0,6,99,2,71,no,yes
204,male,31,169.3,91,3800,apprenticeship,other,2,7,8,-40,37,5,0,89,3,87,no,yes
205,female,64,170.4,63.6,NA,SEK_III,evangelical-reformed,1,8,5,NA,25,0,6,74,1,58,no,yes
206,male,31,166.2,65.5,7500,SEK_III,confessionless,2,6,7,1240,10,0,7,62,2,105,no,no
207,female,31,163.8,54,3200,SEK_II,catholic,2,7,3,490,0,4,6,77,3,70,no,no
208,male,31,194.7,99.6,3300,apprenticeship,catholic,2,7,4,340,57,6,6,68,7,103,yes,no
209,female,47,167.5,60.3,NA,SEK_III,confessionless,1,8,7,NA,54,0,7,104,2,67,no,no
210,male,43,176.9,73.6,9100,SEK_III,confessionless,5,8,5,1030,44,0,6,115,1,63,no,yes
211,male,31,185.2,97,4800,apprenticeship,confessionless,2,7,3,630,33,0,4,74,2,59,no,yes
212,male,39,182.4,59.7,5800,SEK_III,catholic,2,9,8,700,36,3,1,66,2,30,no,yes
213,male,68,181.5,88.1,10800,apprenticeship,confessionless,2,7,3,1430,38,0,6,84,3,103,no,yes
214,female,58,164.2,63.8,10200,SEK_II,evangelical-reformed,1,6,8,930,27,0,4,96,7,98,no,yes
215,male,31,192.8,83.5,6100,apprenticeship,muslim,1,7,8,760,16,0,3,101,2,9,no,no
216,female,60,166.2,62.8,9200,SEK_III,catholic,2,7,7,1040,33,6,2,105,7,64,no,yes
217,female,31,182.7,66,6100,apprenticeship,catholic,5,8,3,460,19,0,5,60,6,44,no,yes
218,female,63,157.3,66.2,9700,obligatory_school,evangelical-reformed,1,9,3,1950,0,1,3,94,6,48,yes,yes
219,male,29,165.5,57,6300,obligatory_school,confessionless,4,8,4,30,72,1,3,72,2,63,no,yes
220,female,59,167.8,NA,7800,obligatory_school,catholic,3,7,4,700,13,0,3,114,4,66,no,yes
221,female,46,166.3,75.8,8200,SEK_III,evangelical-reformed,0,6,2,930,14,3,5,68,4,70,no,yes
222,female,43,158,54.5,7e3,SEK_III,catholic,3,7,8,950,14,0,9,111,3,43,no,yes
223,female,42,164.5,57.8,5800,SEK_III,NA,1,5,5,540,22,4,0,104,6,52,no,yes
224,female,53,155.8,74.8,9400,apprenticeship,evangelical-reformed,2,9,8,1120,21,0,4,73,4,52,no,no
225,male,29,170.8,82.6,7e3,SEK_III,confessionless,3,7,8,510,31,0,3,73,4,86,no,yes
226,female,29,144.2,61.7,4700,SEK_III,evangelical-reformed,3,5,3,530,30,0,2,58,4,35,no,yes
227,female,48,161.9,59.3,6700,apprenticeship,catholic,2,7,7,780,24,0,9,66,3,69,no,yes
228,male,74,172.8,NA,10600,SEK_III,NA,2,7,6,1100,40,0,3,90,5,43,no,yes
229,male,56,168.5,84.9,9e3,SEK_III,catholic,3,7,5,720,61,3,3,92,3,42,yes,no
230,male,29,177.1,109.9,4700,SEK_II,NA,1,9,3,810,48,0,4,62,1,86,no,yes
231,female,35,149.5,67.6,9e3,apprenticeship,confessionless,2,6,7,1220,24,0,5,84,6,48,no,yes
232,male,67,192.9,100,9900,SEK_III,confessionless,2,7,1,1200,30,3,8,58,1,77,no,no
233,female,49,170.2,56.7,6700,SEK_III,NA,2,6,5,980,0,0,5,95,5,80,no,yes
234,male,30,191.1,76.3,3900,SEK_III,catholic,1,7,4,450,18,0,8,82,1,54,no,no
235,male,68,203.5,92.6,NA,SEK_III,evangelical-reformed,0,6,6,NA,29,4,5,99,3,46,no,yes
236,male,31,172.7,NA,4700,apprenticeship,evangelical-reformed,2,7,5,590,11,0,5,101,1,79,no,yes
237,male,70,182.7,85.3,10700,obligatory_school,evangelical-reformed,3,8,6,1140,17,0,4,84,3,89,no,no
238,female,27,161.1,57.2,6400,obligatory_school,catholic,1,6,7,570,21,3,5,108,3,65,no,yes
239,male,19,158.8,83.2,NA,apprenticeship,confessionless,2,8,3,NA,21,0,7,95,7,66,no,yes
240,female,50,169.2,72,10600,SEK_III,confessionless,2,5,2,1160,27,4,1,63,8,52,no,yes
241,male,31,183.3,84,2300,apprenticeship,NA,3,7,5,110,27,0,3,117,2,6,no,no
242,female,20,154.2,49.1,3400,SEK_III,catholic,5,8,4,460,30,0,4,110,7,51,no,yes
243,male,58,205.7,65.9,9e3,apprenticeship,catholic,2,9,8,730,47,0,5,103,3,46,no,no
244,female,31,150.8,62.2,6100,SEK_III,catholic,1,7,7,330,30,0,1,85,7,63,no,yes
245,male,56,175.2,66.1,7600,SEK_III,confessionless,4,7,7,1060,55,7,5,80,2,11,no,yes
246,male,29,180.2,87.4,4900,apprenticeship,confessionless,2,7,6,470,28,6,7,80,6,54,no,yes
247,female,55,153.4,58.6,8800,apprenticeship,catholic,1,5,2,1260,8,1,5,68,2,38,no,yes
248,male,43,165.7,67.2,6400,SEK_III,catholic,1,7,3,670,34,4,8,62,2,94,no,no
249,female,46,162.2,55.5,NA,obligatory_school,catholic,1,8,5,NA,44,0,3,105,4,56,no,yes
250,male,52,171.3,66.3,7400,SEK_II,evangelical-reformed,3,6,2,370,50,0,5,103,5,57,no,no
251,male,20,177,94.9,1600,SEK_III,confessionless,2,7,2,-100,42,0,4,77,0,92,no,yes
252,female,60,174.9,50.3,8800,apprenticeship,catholic,3,7,5,1250,30,2,4,86,6,79,no,yes
253,female,27,178,57.9,6100,SEK_III,NA,1,6,7,840,26,1,4,48,5,78,no,yes
254,male,25,200.9,73,7100,SEK_III,other,2,5,6,620,29,0,8,68,1,30,no,yes
255,male,31,172.8,71.6,5900,apprenticeship,evangelical-reformed,3,8,5,370,51,0,8,83,2,48,no,no
256,female,32,160.1,53.6,7300,SEK_III,NA,1,9,2,1040,0,0,7,71,3,87,no,yes
257,female,47,173,61.4,7500,apprenticeship,confessionless,3,7,5,810,35,3,4,95,2,72,no,yes
258,female,67,152.5,80.8,NA,apprenticeship,NA,2,7,3,NA,11,0,3,113,3,52,no,yes
259,female,29,157.5,NA,6300,apprenticeship,NA,1,6,3,580,50,0,8,95,5,65,no,yes
260,male,64,156,84.1,NA,apprenticeship,catholic,2,7,5,NA,0,8,4,78,3,48,no,yes
261,male,55,187.4,81.5,7800,apprenticeship,catholic,1,9,7,1180,30,0,6,115,1,57,no,yes
