carat,cut,color,clarity,depth,table,price,x,y,z
0.4,Ideal,G,VVS1,61.4,55,1123,4.72,4.76,2.91
0.59,Ideal,G,VVS2,62.6,57,2125,5.33,5.37,3.35
0.4,Ideal,G,VVS1,61.5,59,1051,4.71,4.75,2.91
0.54,Ideal,G,VS1,62.2,56,1760,5.23,5.19,3.24
0.3,Ideal,G,VVS1,62.3,54,764,4.32,4.35,2.7
0.54,Very Good,H,SI1,63.3,57,1240,5.22,5.15,3.28
0.52,Premium,E,SI1,60.3,58,1369,5.2,5.24,3.15
0.52,Fair,E,VVS2,57.2,64,2079,5.27,5.36,3.04
2.01,Premium,H,SI1,58.5,58,16956,8.3,8.25,4.84
0.3,Good,J,SI1,64,55,339,4.25,4.28,2.73
1.01,Premium,D,SI2,58.3,59,4672,6.67,6.63,3.88
1.54,Premium,D,VS2,59.3,59,16736,7.54,7.61,4.49
1.5,Fair,H,I1,65.7,58,4939,7.07,7.02,4.63
0.3,Ideal,F,IF,61.6,58,886,4.28,4.32,2.65
1.03,Premium,H,VS1,62,59,5624,6.48,6.45,4.01
0.7,Very Good,G,VS2,58.2,59,2513,5.87,5.95,3.44
0.56,Ideal,G,VS2,60.9,56,1662,5.34,5.36,3.26
0.33,Premium,F,VS2,62.4,58,666,4.37,4.41,2.74
0.71,Ideal,D,VS2,62.5,55,3161,5.74,5.71,3.58
0.9,Very Good,F,SI2,61.4,62,3770,6.11,6.2,3.78
1,Premium,D,VS1,62.7,54,7812,6.38,6.35,3.99
1.09,Very Good,G,VS1,59.7,63,6570,6.74,6.65,4
1.04,Premium,G,SI2,60.6,59,3896,6.6,6.56,3.99
0.54,Ideal,D,VS1,62.1,57,2004,5.19,5.22,3.23
0.41,Very Good,E,SI2,63.3,56,818,4.73,4.69,2.98
0.3,Ideal,E,VVS1,61.5,58,838,4.28,4.31,2.64
0.8,Good,G,I1,63.7,55,1350,5.91,5.81,3.73
1.04,Premium,F,SI1,62.2,60,5300,6.48,6.44,4.02
1.36,Ideal,G,VVS2,61.1,57,11956,7.2,7.14,4.38
0.91,Ideal,G,SI1,61.9,56,4731,6.22,6.18,3.84
0.76,Very Good,I,SI1,62,56,2352,5.81,5.84,3.61
0.51,Ideal,H,VS1,61.1,56,1438,5.11,5.16,3.14
0.91,Very Good,E,VS2,62.8,59,4823,6.15,6.17,3.87
1.5,Fair,H,SI2,65.5,53,7187,7.14,7.11,4.67
1.13,Premium,F,SI1,60.6,60,5581,6.76,6.67,4.07
0.25,Ideal,G,VS2,61.4,57,459,4.08,4.1,2.51
0.43,Premium,D,SI1,61,57,993,4.88,4.85,2.97
0.43,Good,H,VVS1,60,61,1000,4.91,4.93,2.95
0.42,Very Good,H,SI1,61.1,57,754,4.84,4.87,2.96
0.66,Very Good,G,IF,60.5,59,3051,5.69,5.74,3.46
0.51,Good,H,SI1,63.7,56,1119,5.07,5.1,3.24
0.5,Ideal,E,VS2,60.5,56,2100,5.18,5.16,3.13
0.71,Ideal,I,IF,61.7,59,2701,5.7,5.74,3.53
2.25,Premium,I,SI1,60.1,60,18034,8.55,8.51,5.13
0.71,Ideal,H,VS1,62.1,55,2209,5.68,5.72,3.54
0.7,Good,E,SI2,62.9,56,2028,5.63,5.66,3.55
1.74,Premium,D,SI2,61.9,58,12052,7.73,7.67,4.77
0.51,Good,D,VS2,63.7,57,1665,5.05,5,3.2
1.04,Good,F,SI2,63.1,60,4427,6.35,6.42,4.03
1.22,Ideal,I,SI1,62.3,57,5233,6.77,6.87,4.25
2.04,Very Good,J,VS2,63,58,13609,7.99,8.02,5.04
0.31,Ideal,E,VS1,62.1,54.2,726,4.31,4.35,2.69
0.7,Very Good,H,SI1,61,58,2107,5.67,5.7,3.47
0.26,Premium,E,VVS2,60.8,61,724,4.13,4.12,2.51
0.7,Premium,E,VS2,61.4,59,2858,5.73,5.7,3.51
2.05,Premium,I,SI2,62,58,9850,8.13,8.08,5.02
1.07,Very Good,H,SI2,62.1,58,4716,6.53,6.57,4.07
1.26,Premium,I,SI2,60.1,59,5151,7,6.91,4.18
1.68,Ideal,G,VS1,62,55,16985,7.59,7.66,4.73
1.01,Good,F,SI2,63.7,59,4166,6.28,6.38,4.03
1.22,Ideal,G,VS2,62,55,7923,6.83,6.91,4.26
1.16,Premium,H,SI2,60.2,59,4872,6.84,6.78,4.1
0.3,Good,I,IF,63.3,56,631,4.21,4.26,2.68
0.52,Ideal,E,IF,61.1,57,3033,5.17,5.21,3.17
0.5,Very Good,E,SI1,60.7,61,1316,5.09,5.12,3.1
0.31,Premium,I,VS1,60.8,59,489,4.37,4.41,2.67
0.3,Ideal,F,VS2,61.8,56,776,4.31,4.3,2.66
0.42,Ideal,D,VS2,61.4,56,1031,4.8,4.84,2.96
0.91,Good,I,SI1,64,58,2348,6.01,5.99,3.84
0.3,Very Good,D,VVS2,62.9,56,752,4.27,4.29,2.69
0.7,Premium,D,SI1,62.8,60,2782,5.68,5.66,3.56
0.36,Very Good,D,SI2,63,59,501,4.49,4.52,2.84
0.3,Premium,F,VS2,61.4,55,673,4.37,4.32,2.67
1.09,Very Good,E,SI2,60.9,59,5035,6.61,6.75,4.07
1.68,Premium,F,SI1,60.7,62,12681,7.72,7.66,4.67
0.71,Premium,E,SI1,59.1,60,2441,5.87,5.84,3.46
0.44,Premium,E,VVS2,60,59,1274,4.95,4.99,2.98
0.4,Ideal,H,IF,62.7,57,1238,4.7,4.68,2.94
0.51,Good,F,SI1,63.6,56,1220,5.08,5.11,3.24
0.78,Very Good,D,SI1,62.4,58,2945,5.86,5.9,3.67
1,Premium,F,SI2,61.6,62,4333,6.37,6.3,3.9
1.23,Ideal,H,VS2,61.7,56,7687,6.92,6.88,4.26
0.31,Premium,F,VS2,59.4,58,583,4.37,4.45,2.62
0.53,Ideal,I,VS1,61.6,55,1263,5.21,5.25,3.22
0.65,Good,E,VS2,57.8,61.2,2406,5.72,5.78,3.32
1.93,Very Good,I,SI1,62.8,58,13278,7.89,7.97,4.98
0.32,Ideal,F,VS2,62.8,57,828,4.36,4.33,2.73
0.34,Ideal,E,SI2,62,56,477,4.45,4.48,2.77
0.73,Ideal,D,VVS2,62,53.6,4547,5.76,5.8,3.59
0.53,Ideal,G,IF,60.3,56,2293,5.29,5.33,3.2
1.2,Ideal,D,VS2,62.3,56,9912,6.81,6.78,4.23
1.03,Ideal,F,VVS2,61.9,53,9131,6.52,6.54,4.04
0.51,Good,G,VVS2,63.7,54,1895,5.1,5.08,3.24
0.23,Good,E,VVS2,63.3,56,530,3.88,3.92,2.47
0.59,Very Good,I,VS2,63.4,56,1391,5.37,5.33,3.39
0.79,Very Good,D,SI2,62.8,59,2823,5.86,5.9,3.69
0.34,Good,E,SI2,63.7,55,477,4.43,4.46,2.83
1.04,Premium,D,VS1,60.5,59,8532,6.62,6.58,3.99
0.59,Ideal,F,SI1,62.3,54,1424,5.37,5.41,3.36
0.9,Premium,D,VS1,61.2,58,6441,6.27,6.25,3.83
1.5,Very Good,E,SI1,59.3,60,12247,7.4,7.5,4.42
0.94,Very Good,E,SI2,62,58,3886,6.23,6.29,3.88
1,Ideal,G,SI1,61.9,56,5088,6.45,6.37,3.97
1.04,Very Good,H,VS2,60.4,56,5738,6.55,6.59,3.97
0.5,Good,E,SI1,64.2,59,1155,5.03,4.97,3.21
0.32,Ideal,F,VS2,62.8,53,828,4.38,4.34,2.74
0.32,Premium,I,VS1,61.9,58,648,4.4,4.36,2.71
1.08,Ideal,H,VVS1,61.8,57,9041,6.55,6.59,4.06
1,Fair,F,VS2,66.7,57,4732,6.11,6.04,4.05
0.76,Very Good,J,VS2,61.2,57,2206,5.86,5.91,3.6
0.31,Premium,D,VS2,62,59,734,4.32,4.36,2.69
1.12,Premium,E,I1,61,59,3942,6.7,6.74,4.1
0.3,Ideal,E,VS2,61.6,55,658,4.31,4.33,2.66
0.33,Good,G,VS1,63.1,57,666,4.38,4.4,2.77
0.7,Very Good,D,SI1,61,59,2409,5.67,5.7,3.47
0.34,Good,E,SI1,63.9,56,765,4.48,4.44,2.85
0.34,Ideal,G,SI1,61.8,54.4,531,4.49,4.52,2.79
1.12,Premium,H,SI1,62,56,4572,6.69,6.59,4.13
0.36,Ideal,E,VS2,62.1,55,789,4.54,4.58,2.83
1.06,Premium,F,VVS2,61.8,58,9082,6.54,6.5,4.03
0.44,Ideal,F,VVS2,60.9,55,1253,4.96,4.92,3.01
2.09,Very Good,F,SI2,62.5,60,16210,8.14,8.06,5.06
0.3,Premium,D,VS2,61.1,59,911,4.31,4.26,2.62
1.21,Very Good,G,VVS2,60.4,56,9484,6.88,6.92,4.17
0.38,Very Good,H,VVS1,63.3,58,1033,4.62,4.57,2.91
0.3,Ideal,E,VS2,61.5,55,658,4.31,4.34,2.66
1.53,Good,H,I1,62.3,55.6,6361,7.34,7.38,4.59
1.29,Premium,G,VS1,62.4,58,9354,6.89,6.86,4.29
1.53,Premium,I,SI2,62.1,59,7539,7.35,7.37,4.57
0.3,Good,I,SI1,63.3,59,394,4.22,4.25,2.68
0.38,Very Good,F,SI1,61.7,58,672,4.66,4.73,2.89
1.12,Premium,H,SI2,62,57,4641,6.68,6.61,4.12
2.01,Ideal,G,SI2,62.8,56,15841,8.07,8.02,5.05
0.4,Premium,D,SI2,62.1,60,666,4.69,4.75,2.93
0.7,Good,E,VS1,61,61,2952,5.69,5.72,3.48
1.14,Ideal,H,VS2,62,54,6628,6.72,6.74,4.17
0.7,Premium,J,VS1,60.9,58,2005,5.73,5.66,3.47
1.22,Premium,F,SI1,62.5,59,7059,6.83,6.78,4.25
0.7,Very Good,G,VVS1,63.3,57,3037,5.59,5.63,3.55
1.07,Premium,G,VS1,62,58,6730,6.59,6.53,4.07
0.33,Premium,E,SI1,60.2,58,743,4.55,4.49,2.72
0.51,Good,D,VS2,63.5,56,1668,5.04,5.1,3.22
1.5,Very Good,I,SI1,63.1,59,8291,7.16,7.23,4.54
0.4,Ideal,H,VS1,61.2,55,792,4.75,4.79,2.92
1.25,Ideal,I,SI2,63.3,56,5292,6.87,6.83,4.34
1.71,Very Good,F,SI1,63.3,53,13152,7.54,7.59,4.79
0.71,Premium,H,SI1,62.5,60,2207,5.75,5.68,3.57
1.02,Ideal,F,VS2,61.5,57,6306,6.48,6.5,3.99
0.72,Premium,E,SI1,62.1,58,2265,5.69,5.72,3.54
1,Very Good,D,IF,63.3,59,16073,6.37,6.33,4.02
0.43,Ideal,E,VS2,62.2,57,981,4.8,4.84,3
1.56,Very Good,I,VS1,62.7,58,9857,7.42,7.37,4.64
0.91,Very Good,G,SI2,64,61,3387,6.05,6.08,3.88
0.33,Premium,G,VS2,61.3,61,693,4.47,4.43,2.73
0.42,Ideal,G,VVS2,62.2,56,1103,4.81,4.77,2.98
0.7,Fair,H,I1,66.5,57,1058,5.51,5.4,3.64
0.3,Very Good,G,SI1,59.5,63,447,4.29,4.32,2.56
0.35,Ideal,D,VS2,60.5,56,907,4.63,4.6,2.79
0.23,Ideal,H,VS2,62.3,53,512,3.96,3.99,2.48
0.75,Premium,F,SI2,60.5,58,2394,5.91,5.86,3.56
0.31,Ideal,I,VVS1,62,54,732,4.37,4.34,2.7
1.3,Premium,I,VS2,60.3,60,5242,7.01,6.99,4.22
0.34,Ideal,F,VVS2,59.1,57,1071,4.66,4.61,2.74
0.4,Premium,E,SI1,61,59,687,4.71,4.74,2.88
0.38,Ideal,I,VS1,61.5,53.9,703,4.66,4.7,2.89
0.3,Very Good,F,IF,62.6,55,886,4.3,4.32,2.7
1.2,Very Good,D,SI1,60.7,58,7191,6.81,6.86,4.15
0.75,Premium,D,SI2,60.6,56,2415,5.94,5.9,3.59
0.91,Very Good,F,SI2,61.6,59,3653,6.14,6.24,3.81
2,Ideal,H,SI1,61.8,57,12654,8.05,8.01,4.96
0.7,Very Good,I,VS2,62.8,59,2202,5.56,5.61,3.51
1.2,Ideal,H,SI1,62,58,6450,6.78,6.83,4.22
0.3,Premium,G,VS1,62.2,59,605,4.28,4.31,2.67
0.41,Premium,E,SI1,61.2,59,904,4.82,4.78,2.94
0.4,Very Good,I,SI1,63.2,54,765,4.69,4.67,2.96
0.32,Very Good,G,VVS2,61.3,57,672,4.39,4.43,2.7
1.01,Premium,E,SI2,62.6,59,4751,6.39,6.36,3.99
2.07,Ideal,I,SI2,61.6,56,13879,8.16,8.18,5.04
0.53,Premium,F,VS2,61.4,60,1631,5.18,5.21,3.19
1.75,Premium,I,SI1,60.8,58,7644,7.83,7.79,4.75
1.22,Very Good,G,IF,62,59,8793,6.8,6.85,4.23
0.5,Ideal,G,VVS2,62.8,57,1935,5.04,4.99,3.15
0.57,Ideal,G,SI1,60.5,57,1369,5.4,5.37,3.26
2.01,Ideal,I,VS2,66.7,56,15729,7.75,7.65,5.14
0.72,Premium,F,VS1,62.2,57,3167,5.74,5.67,3.55
1.05,Very Good,E,I1,62.2,61,3234,6.48,6.51,4.04
1.06,Ideal,F,I1,61.8,55,3544,6.55,6.58,4.06
0.7,Ideal,E,SI1,61.9,55,2537,5.74,5.77,3.56
1.05,Ideal,F,VVS1,59,60,12315,6.62,6.67,3.92
1.55,Ideal,E,SI1,61.5,56,13291,7.4,7.36,4.54
0.83,Very Good,H,VS2,61.7,59,3249,5.95,6.02,3.69
1.07,Ideal,E,VS2,60,56,7190,6.64,6.62,3.98
0.37,Ideal,E,SI1,61.9,56,833,4.6,4.57,2.84
0.52,Very Good,J,VVS1,61.7,55.5,1363,5.17,5.19,3.19
0.38,Ideal,F,VVS1,62.2,57,1200,4.64,4.68,2.9
0.3,Good,E,SI1,63.2,57,526,4.25,4.3,2.7
1,Very Good,I,VS2,63.5,56,4620,6.33,6.3,4.01
0.27,Very Good,F,VS2,61.8,57,518,4.14,4.18,2.57
1.25,Ideal,J,SI1,62.1,58,5252,6.86,6.89,4.27
0.31,Ideal,D,VS1,61.8,55,683,4.34,4.36,2.69
0.51,Premium,G,VS1,62.3,58,1781,5.13,5.08,3.18
1.14,Ideal,I,SI1,61.8,57,4724,6.76,6.68,4.15
0.35,Ideal,F,VS2,62.4,55,706,4.51,4.53,2.82
0.32,Ideal,G,VS2,61.8,57,720,4.42,4.38,2.72
1.26,Ideal,E,VS1,61.2,56,11323,6.97,6.93,4.25
0.26,Ideal,F,SI1,61.8,55,447,4.12,4.14,2.55
0.72,Premium,H,SI1,59.9,58,2334,5.85,5.81,3.49
2.02,Very Good,I,VS2,58.8,57,14620,8.21,8.29,4.85
1,Very Good,E,SI1,59.6,60,5257,6.58,6.51,3.9
1.02,Ideal,F,SI2,62.1,56,4162,6.41,6.44,3.99
0.7,Very Good,H,SI1,58.5,65,2475,5.81,5.84,3.41
0.37,Ideal,F,VS2,61.1,57,746,4.63,4.67,2.84
0.41,Ideal,I,VVS2,61.6,57,1061,4.78,4.76,2.94
0.57,Fair,F,SI1,65.8,58,1133,5.2,5.1,3.39
0.34,Ideal,E,SI2,62.4,54,454,4.49,4.52,2.81
0.41,Good,F,VS1,58,61,891,4.86,4.9,2.83
1.32,Premium,H,VVS2,61.3,58,6520,7.05,7.01,4.31
1.13,Ideal,H,SI2,61,60,4535,6.73,6.69,4.09
1.22,Premium,D,SI1,62.3,60,5739,6.84,6.8,4.25
0.39,Ideal,D,VVS2,60,56,1018,4.77,4.79,2.87
3,Good,I,I1,57,64,10863,9.38,9.31,5.33
0.55,Ideal,E,SI1,60.9,56,1556,5.32,5.28,3.23
0.81,Ideal,F,SI1,61.8,55,3004,6.04,6,3.72
0.53,Ideal,G,VVS2,61.7,56,2051,5.23,5.2,3.22
1.15,Very Good,G,VVS2,63.2,58,9068,6.68,6.61,4.2
0.3,Very Good,G,SI1,59.7,60,447,4.35,4.39,2.61
0.31,Ideal,E,VVS2,62.4,53,791,4.33,4.35,2.71
1.39,Very Good,I,I1,62.6,57,3914,7.1,7.15,4.46
1.06,Good,E,SI2,63.9,60,4321,6.45,6.41,4.11
0.25,Very Good,E,VVS2,61.1,61,533,4.03,4.06,2.47
1,Ideal,E,VS2,62.9,55,6871,6.4,6.36,4.01
1.06,Ideal,I,VS1,61.1,56,5702,6.59,6.61,4.03
1.15,Very Good,G,VVS2,58.4,59,8349,6.84,6.92,4.02
0.32,Very Good,F,VVS1,59.4,59,886,4.45,4.47,2.65
1.21,Ideal,J,VS1,62.3,55,5421,6.86,6.81,4.26
1.01,Very Good,I,SI2,63.4,57,5000,6.3,6.39,4.02
0.27,Very Good,E,SI1,60.6,57,646,4.19,4.25,2.55
1.29,Ideal,F,VS1,62.3,54,10923,7,6.93,4.34
1.67,Ideal,F,VS2,61.8,57,17351,7.62,7.58,4.7
0.36,Ideal,H,VS2,60.8,56,587,4.61,4.63,2.81
0.41,Ideal,G,VS2,62.2,57,891,4.75,4.77,2.96
1.25,Premium,I,SI2,60.5,58,5166,7,6.96,4.22
0.89,Premium,H,SI2,60.2,59,2815,6.26,6.23,3.76
0.5,Ideal,D,VS2,60.7,57,1854,5.12,5.22,3.14
0.5,Good,G,SI2,62.3,64,1121,5.1,5.02,3.15
0.39,Very Good,J,VS2,63.3,56,746,4.63,4.6,2.92
0.7,Premium,G,VVS2,59.6,61,2737,5.86,5.78,3.47
0.42,Very Good,D,SI1,61.5,58,756,4.8,4.83,2.96
0.82,Very Good,I,VVS1,62.8,58,3443,5.95,5.99,3.75
0.32,Premium,D,SI1,62.3,55,756,4.42,4.38,2.74
1.01,Premium,F,I1,61.8,60,2781,6.39,6.36,3.94
0.3,Ideal,D,VS2,62.2,55,710,4.29,4.33,2.68
1.52,Very Good,D,SI2,59.1,58,9781,7.45,7.48,4.41
1.31,Very Good,E,VS2,63.1,56,10094,6.95,6.9,4.37
0.7,Very Good,H,VS2,62.8,58,2429,5.67,5.7,3.57
0.31,Good,G,VVS2,63.2,58,707,4.26,4.32,2.71
0.3,Ideal,F,SI1,61.2,55,609,4.35,4.37,2.67
0.73,Good,G,I1,63.9,55,1210,5.76,5.69,3.65
1.01,Good,F,SI2,63.2,58,4221,6.3,6.43,4.02
1.01,Fair,F,VS1,64.7,54,6759,6.33,6.28,4.08
0.34,Ideal,E,VVS1,62.2,56,1084,4.49,4.45,2.78
1.02,Very Good,G,SI1,62,57,4633,6.41,6.5,4
1.25,Good,H,SI1,63.7,58,6783,6.81,6.79,4.33
0.32,Ideal,I,VS2,62.5,55,576,4.4,4.37,2.74
0.92,Good,D,SI2,63.3,59,3891,6.12,6.18,3.89
0.78,Ideal,F,SI1,61.3,56,3362,5.92,6,3.64
0.32,Good,H,SI2,63.1,56,403,4.34,4.37,2.75
0.39,Ideal,H,IF,61.9,55.6,1039,4.68,4.7,2.91
1.54,Premium,F,VS2,62.8,58,14188,7.33,7.29,4.59
0.71,Very Good,H,VS1,63.9,60,2562,5.54,5.6,3.56
1.13,Ideal,H,VS2,62,57,5885,6.7,6.66,4.14
1.06,Premium,E,VS2,62.3,58,6716,6.49,6.52,4.05
1.75,Very Good,E,SI1,60.3,61,15255,7.74,7.82,4.69
1,Good,H,SI1,61.6,61,4405,6.29,6.35,3.89
0.4,Premium,F,SI2,62.6,60,631,4.65,4.68,2.92
0.7,Good,H,SI1,63.3,60,2029,5.57,5.65,3.55
0.72,Fair,G,VS1,66.4,57,2396,5.6,5.51,3.69
0.25,Ideal,G,VS1,62.6,53,438,4.01,4.07,2.53
1,Premium,E,SI1,59.7,57,5322,6.56,6.48,3.89
0.33,Ideal,G,VVS2,61.7,55,965,4.46,4.42,2.74
1,Premium,F,SI1,62.1,59,5060,6.36,6.39,3.96
0.53,Very Good,G,SI1,61,55,1219,5.21,5.32,3.21
1.04,Premium,D,SI1,59.9,56,6115,6.65,6.6,3.97
0.71,Very Good,G,SI1,62.3,57,2104,5.7,5.76,3.57
0.7,Ideal,F,SI2,62,56,2355,5.68,5.71,3.53
0.64,Ideal,G,VVS2,61.8,54,2587,5.53,5.56,3.42
0.24,Very Good,D,VS1,61.1,60,367,3.96,3.99,2.43
0.34,Ideal,E,SI1,61.7,56,596,4.49,4.52,2.78
1.5,Premium,H,IF,63,59,13107,7.3,7.23,4.58
0.52,Ideal,G,VVS2,59.8,57,2012,5.26,5.24,3.14
0.23,Very Good,D,VVS2,62,58,530,3.94,3.96,2.45
0.71,Ideal,D,SI1,62.5,55,2719,5.69,5.74,3.57
0.31,Ideal,H,VS1,61.3,55,562,4.36,4.38,2.68
0.29,Ideal,G,VVS2,60.7,54,607,4.33,4.37,2.64
0.3,Premium,G,VVS2,62.3,59,878,4.29,4.25,2.66
1.07,Premium,D,VS2,62.4,57,7550,6.59,6.51,4.09
1.73,Premium,F,SI2,63,60,8816,7.63,7.52,4.77
1.1,Ideal,J,SI2,60.1,57,4624,6.77,6.74,4.06
0.32,Ideal,H,VVS2,62,55,828,4.42,4.39,2.73
0.3,Premium,H,SI1,62.9,58,554,4.28,4.24,2.68
0.5,Ideal,D,SI1,62.9,57,1654,5.08,5.06,3.19
0.31,Very Good,I,VS1,62.8,55,489,4.31,4.35,2.72
0.31,Ideal,F,VS2,61.9,54,625,4.35,4.38,2.7
0.7,Fair,I,SI1,65.2,58,1749,5.6,5.56,3.64
0.9,Very Good,H,VS2,61.6,63,3878,6.1,6.14,3.77
1.01,Fair,D,SI2,64.6,62,4538,6.26,6.21,4.03
0.4,Premium,E,SI1,62.8,59,945,4.69,4.64,2.93
0.34,Ideal,G,IF,62.2,56,984,4.45,4.46,2.77
0.33,Ideal,D,SI1,60.9,56,736,4.46,4.5,2.73
1.04,Premium,H,SI1,59.5,58,4980,6.67,6.58,3.94
0.41,Good,E,VS1,63.5,54,935,4.71,4.74,3
2,Premium,I,SI2,58.6,61,14199,8.28,8.16,4.82
0.54,Ideal,I,SI1,61.9,54,1057,5.25,5.28,3.26
1.24,Very Good,J,VS1,62.1,58,5783,6.85,6.96,4.29
0.51,Ideal,E,SI1,62,55,1343,5.12,5.14,3.18
0.31,Ideal,H,VVS2,62.4,57,625,4.32,4.36,2.71
1.01,Good,H,SI1,60.3,64,4242,6.49,6.52,3.92
1.43,Ideal,H,VVS2,61.6,54,10129,7.25,7.29,4.48
0.73,Very Good,F,VS2,62.7,58,2939,5.73,5.75,3.6
0.57,Very Good,E,VS2,62.9,57,1851,5.26,5.29,3.32
0.35,Very Good,F,SI2,62.8,55,460,4.48,4.53,2.83
1.51,Good,H,SI1,61.8,62,9681,7.25,7.29,4.49
0.7,Very Good,H,VS2,60,55,2287,5.73,5.77,3.45
0.31,Very Good,D,VS2,62.3,55,734,4.32,4.35,2.7
0.7,Fair,H,VS1,64.9,56,2152,5.68,5.56,3.65
0.79,Very Good,F,SI1,62.8,59,2878,5.86,5.89,3.69
0.54,Premium,E,SI2,61.9,58,1250,5.24,5.19,3.23
1,Very Good,H,VS1,64.2,53,5619,6.27,6.34,4.05
0.56,Premium,G,SI1,60.2,59,1340,5.34,5.36,3.22
0.7,Very Good,G,SI1,62.5,59,2545,5.69,5.73,3.57
0.95,Premium,G,SI2,59.8,60,3181,6.36,6.34,3.8
1.2,Ideal,G,VS2,62.1,56,7741,6.84,6.78,4.23
0.3,Ideal,E,VS2,62,56,844,4.34,4.3,2.68
0.33,Ideal,G,SI2,61.7,55,463,4.46,4.48,2.76
0.91,Very Good,H,VS2,61.6,60,3887,6.19,6.21,3.82
0.76,Ideal,F,SI1,62.6,57,2719,5.84,5.89,3.67
2.02,Very Good,H,SI2,60.8,60,14498,8.07,8.15,4.93
0.38,Very Good,D,VVS2,61.9,56,1200,4.63,4.65,2.87
0.31,Ideal,D,VS2,61.2,55,942,4.38,4.35,2.67
0.3,Ideal,F,VVS1,61.8,55,857,4.32,4.35,2.68
0.7,Ideal,E,VS2,61.5,56,2940,5.73,5.68,3.51
1.07,Very Good,E,VS2,62.5,57,6120,6.53,6.6,4.1
1.01,Ideal,I,SI1,61.2,56,4825,6.48,6.51,3.97
0.33,Ideal,I,VVS2,62.7,54,743,4.45,4.42,2.78
0.52,Ideal,D,VS2,61.8,57,1822,5.16,5.2,3.2
0.34,Ideal,G,VS2,62.2,53,596,4.46,4.51,2.79
0.3,Good,H,VS1,63.1,57,526,4.24,4.26,2.68
1.09,Very Good,I,SI2,62.5,57,4584,6.56,6.58,4.11
1.01,Premium,G,VS1,59.8,59,6529,6.55,6.5,3.9
1.15,Premium,F,SI2,62.2,59,4437,6.7,6.62,4.14
