ViolentCrimesPerPop,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,OwnOccQrange,RentLowQ,RentMedian,RentHighQ,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LandArea,PopDens,PctUsePubTrans,LemasPctOfficDrugUn
546.28,17140,2.88,10.44,77.79,1.03,17.68,14.8,27.74,12.5,7.77,0,0,32098,84.93,1.6,33.42,19.35,4.94,12.6,37817,13022,14243,8384,6594,14897,8418,1623,9.65,7.32,19.53,14.37,5.2,65.49,23.19,20.44,14.67,22.64,10.39,23.24,12.71,11.59,3.29,78.42,74.6,86.1,88.9,64.25,71.1,270,2.11,418,10.29,18.9,21.53,39.95,0.25,0.46,0.53,0.97,84.46,1.95,5.71,4.37,2.82,2.91,2.67,66.21,6.82,39.15,3,750,88.81,64.25,7.73,54.93,1973,7.96,0.6,39700,52200,66800,27100,234,297,385,151,371,22.3,17.7,13.6,0,0,2.44,74.21,50.21,84.89,95.31,10.1,1703.8,0,0
1059.43,14280,2.51,34.84,64.8,0.14,0.41,14.54,24.13,11.27,17.29,0,0,13863,59.22,0.95,20.72,40.26,17.64,18.38,18467,8232,9799,5074,5243,38807,8519,5186,36.8,17.76,38.45,9.72,14.82,40.37,16.4,30.71,18.77,19.04,12.22,27.67,15.55,14.12,3.07,54.32,47.55,52.13,61.43,57.78,64.08,947,6.93,90,0,0,8.89,8.89,0,0,0.06,0.06,95.83,0.5,4.81,3.32,2.48,2.43,2.58,64.57,3.94,47.65,3,786,87.86,65.92,4.33,64.38,1956,12.25,0.97,19200,33000,49500,30300,108,151,205,97,234,33.6,23.3,14.6,0,0,0.63,75.49,63.03,90.59,94.98,9.8,1456,0,0
645.16,10415,2.76,0.35,99.08,0.31,0.57,12.77,25.62,11.64,11.44,6275,60.25,40059,81.05,0.66,44.25,29.39,6.44,16.88,45550,16531,16591,26000,6260,0,0,609,5.87,9.61,23.43,19.86,6.65,65.87,25.25,22.36,15.79,24.46,5.84,28.82,8.91,7.42,3.2,84.73,81.38,90.23,80.03,59.5,73.74,111,1.42,235,4.26,18.3,18.3,20.85,0.1,0.41,0.41,0.47,93.37,0.1,4.88,3.76,2.76,2.92,2.35,75.6,1.46,38.2,3,190,95.21,71.3,2.63,32.11,1951,1.4,0.43,117100,142200,172500,55400,275,461,570,295,545,24.2,22.4,13.8,0,0,2.26,76.25,58.35,83.56,92.71,30.6,340.2,0.26,0
84.88,13279,2.3,8.49,84.84,4.99,5.5,9.13,26.85,11.48,12.06,13279,100,39603,83.86,0.8,55.6,24.39,3.41,11.54,51820,20977,22232,14788,40380,12417,13135,773,5.83,5.94,15.25,48.52,5.21,70.81,13.49,43.54,6.13,49.05,7.36,37.05,10.41,8.98,2.98,78.65,78.1,93.71,72.12,72.16,76.49,182,2.25,2480,32.34,43.91,52.06,56.17,6.04,8.2,9.72,10.49,80.07,3.08,3.82,2.23,2.3,2.74,1.99,49.15,2.42,61.27,2,327,94.64,41.15,2.14,39.76,1951,0.8,0.16,144300,174800,220700,76400,512,620,722,210,668,26.2,23,15.3,0,0,18.68,44.24,52.59,72.53,80.78,1.9,6974.3,8.67,0
30.44,11657,2.74,0.1,99.05,0.51,1.16,14.18,27.12,12.71,12.04,0,0,29042,80.49,1.59,38.98,29.34,4.9,19.09,33971,12563,12584,6388,19646,5723,12481,873,7.77,9.35,24.39,13.01,4.44,62.55,20.2,21.2,19.06,21.74,10.27,22.76,13.06,11.78,3.14,79.41,76.25,91.87,82.14,72.57,75.53,100,0.98,166,9.64,9.64,15.06,15.06,0.14,0.14,0.21,0.21,96.93,0.39,4.43,3.34,2.64,2.74,2.44,69.67,2.09,42.4,3,176,96.02,67.12,1.14,43.18,1959,4.57,0.63,42300,57400,79100,36800,254,323,380,126,403,22.2,16.2,12.1,0,0,1.42,76.22,51.27,79.75,92.56,6.4,1832.9,0,0
268.82,11343,2.04,0.26,98.91,0.51,2.28,7.71,15.43,7.37,29.89,11343,100,38464,63.67,0.63,65.34,46.82,2.31,24.4,49389,26855,26897,0,0,37373,16188,438,3.86,1.99,10.3,31.13,2.95,49.31,16.66,23.66,5.13,38.38,9.56,20.89,11.12,10.4,2.58,80.75,80.47,88.25,92.56,67.44,77.27,71,0.71,767,6.39,9.52,12.91,19.82,0.43,0.64,0.87,1.34,92.51,0.38,1.42,0.86,2.04,2.13,1.74,80.83,0.5,60.23,2,1220,82.01,77.58,2.87,28.28,1970,0.11,0,94400,128200,200500,106100,483,558,745,262,648,27.6,20.1,13.4,0,0,6.76,16.44,57.81,79.19,83.32,3.4,3308.9,0,0
339.73,10922,2.45,8.05,91.51,0.29,0.79,7.97,19.65,8,22.85,10922,100,31726,66.64,0.61,55.24,44.08,3.35,28.34,37930,14227,14526,11204,22000,1931,9163,390,3.72,18.74,33.85,11.63,5.01,52.1,19.24,20.1,13.82,25.81,5.68,26.5,7.85,6.85,2.85,81.95,81.5,95.16,83.15,70.84,75.41,60,0.72,82,0,0,35.37,35.37,0,0,0.27,0.27,96.67,0.06,2.86,2.02,2.35,2.35,2.39,92.63,1.03,45.55,3,108,97.63,92.75,0,41.67,1956,0.31,0,52200,57500,67500,15300,332,418,477,145,510,21.3,17.7,11.8,0,0,0.75,82.59,71.79,85.04,97.63,4.5,2401.5,1.46,0
166.4,49366,2.49,1.24,97.32,1.02,0.99,10.24,21.23,8.72,16.66,49366,100,40041,74.71,0.11,70.19,35.14,2.51,20.19,47647,19065,19251,12108,8663,11212,12973,1558,3.29,4.53,11.27,38.46,2.26,62.35,16.1,34.1,7.43,41.5,5.66,26.82,8.8,7.39,2.97,83.79,82.11,96.01,82.18,67.74,74.67,392,1.07,1911,5.81,9.47,10.47,17.11,0.22,0.37,0.41,0.66,92.81,0.91,3.35,2.26,2.39,2.66,1.78,76.7,0.49,40.21,3,441,97.83,68.69,0,23.13,1949,0.41,0.16,73700,89300,111300,37600,379,460,571,192,526,25.5,20.6,13.4,0,0,3.87,76.32,59.06,85.81,93.25,13.7,3598.8,2.7,0
893.29,60738,3.11,0.64,26.75,57.46,31.33,13.89,28.54,14.13,12.85,60738,100,32605,76.31,0.52,41.65,24.57,13.8,12.88,36808,13290,15751,14779,13697,13110,11188,9900,16.42,16.24,30.03,22.41,6.15,55.44,15.74,22.46,12.57,28.22,6.1,36.87,9.75,8,3.49,74.34,68.82,82.73,78.04,54.93,57.29,1309,2.78,31477,19.88,29.76,41.75,56.35,10.3,15.42,21.64,29.2,26.97,22.32,11.86,9.33,3.1,3.02,3.19,53.58,23.41,57.48,2,793,96.09,54.93,1.39,16.39,1962,1.5,1,177900,238800,304200,126300,492,606,702,210,661,31.8,23.3,11.7,0,0,51.82,35.79,50.94,79.75,82.46,7.9,7676.7,4.88,5.71
149.98,12267,2.35,0.16,99.34,0.28,0.64,12.11,22.6,12.06,22.02,12267,100,18974,61.5,0.46,42.24,46.39,9.57,28.37,26296,10815,10874,2753,0,4703,14714,1477,12.18,16.88,38.75,9.62,7.49,48.58,22.83,22.93,22.89,17.44,7.5,30.88,8.37,7.98,2.97,73.5,71.14,89.9,73.04,55.24,62.32,155,1.49,176,0,9.66,18.18,18.18,0,0.14,0.26,0.26,90.81,1.17,3.71,2.4,2.32,2.5,2.05,65.09,0.82,39.93,3,417,92.6,60.48,11.27,70.5,1939,2.61,1.31,30900,44000,62700,31800,154,209,268,114,285,26.8,16,14.8,0,0,1.43,90.41,70.44,92.47,95.42,3.6,3376.7,2.83,0
137.47,10602,2.82,1.39,85.37,12.48,3.22,11.32,16.79,8.1,13.07,10602,100,84498,76.24,1.64,79.43,26.6,1.98,17.48,100131,42951,45553,26439,4570,27934,51320,191,1.8,0.63,3.55,71.2,1.61,65.2,7.1,42.96,2.29,59.65,5.41,22.58,9.59,7.64,3.14,86.57,86.82,96.44,82.95,63.99,65.7,166,2.27,1234,5.27,5.27,7.21,12.97,0.61,0.61,0.84,1.51,84.27,1.56,4.04,3.25,2.82,2.85,2.61,91.23,0.88,12.94,4,93,97.58,90.49,1.08,35.48,1939,0,0.29,388800,500001,500001,111201,721,1001,1001,280,1001,22.5,22.9,11.3,0,0,11.64,54.07,66.53,87.78,94.76,1.7,6079.1,9.17,0
310.65,10733,2.51,1.35,90.5,3.32,15.5,10.76,27.33,12.48,15.84,10733,100,32846,76.62,0.79,40.97,32.13,3.63,11.85,39076,14935,15318,10337,3812,14882,12145,935,8.72,17.83,38.64,15.3,7.65,61.35,16.24,17.36,13.56,24.07,6.12,36.08,9.05,7.63,3.13,79.27,77.85,86,85.33,49.56,64.52,204,2.91,3072,20.41,25.42,29.85,38.05,5.84,7.28,8.54,10.89,59.14,7.97,5.08,3.37,2.51,2.85,2.29,44.14,5.7,66.47,2,407,91.31,38.84,0.25,34.4,1953,2.59,0.21,153200,184000,225300,72100,451,613,722,271,659,29.3,24.2,18.2,0,0,28.62,51.84,57.06,74.43,87.27,0.9,12274.7,23.57,0
79.76,30548,2.66,0.59,95.96,2.93,3.48,10.77,20.02,9.29,18.45,30548,100,49658,76.66,0.54,62.08,35.92,3.18,19.93,56569,22418,22539,13942,0,20361,18964,894,2.94,6.64,18.7,30.35,3.76,62.04,15.22,26.22,7.69,35.13,4.16,25.72,6.93,5.63,3.06,87.75,87.05,98.13,87.03,55.09,66.31,86,0.38,5069,10.24,15.29,20.2,31.98,1.7,2.54,3.35,5.31,80.62,2.69,3.6,2.79,2.64,2.77,2.12,84.73,0.85,28.86,3,266,97.74,80.97,0,20.68,1949,0.23,0.28,177400,199000,242300,64900,452,539,797,345,594,28.3,22.9,15.4,0,0,16.59,47.97,73.31,86.49,90.68,5.4,5702.7,10.35,0
386.63,15472,2.76,4.4,90.03,1.61,6.85,14.28,28.91,13.46,9.68,15472,100,25149,83.59,0.64,26.98,21.45,4.14,13.31,28648,10647,11009,5565,6088,7234,7918,1899,12.77,9.02,29.35,6.79,5.53,64.46,25.35,15.23,14.51,16.42,13.45,24.53,17.77,15.72,3.12,69.8,67.64,72.97,69.04,61.99,70.87,301,2.55,460,10.43,18.7,20,22.83,0.31,0.56,0.59,0.68,93.24,0.58,3.84,2.85,2.66,2.65,2.68,53.23,4.92,54.48,2,556,90.98,53.48,2.34,37.23,1965,9.02,0.71,37200,47900,59000,21800,270,338,398,128,403,22.9,15.5,13.6,0,0,2.97,61.55,42.49,77.21,86.28,5.1,3057.7,0.42,0
215.44,17173,2.61,0.49,98.49,0.58,0.65,20.44,33.58,21.93,14.56,0,0,22617,70.14,0.48,38.59,33.39,12.45,15.83,29054,12002,11996,15431,11190,10520,12628,2401,16.04,12.33,25.49,22.24,7.63,53.74,16.09,39.28,12.77,29.77,9.47,38.92,12.57,11.17,2.9,66.02,65.61,70.27,66.6,61.44,69.47,385,3.04,737,14.25,18.72,21.17,26.87,0.61,0.8,0.91,1.15,83.4,1.09,2.64,1.66,2.27,2.56,1.98,56.3,0.94,56.67,2,425,93.94,49.93,3.06,31.06,1945,6.11,0.62,57100,74400,101800,44700,223,316,390,167,359,26,17.2,12.7,0,0,4.31,65.55,46.49,70.52,80.86,14.1,1218.9,0.4,0
372.56,14804,2.6,2.73,92.39,0.63,6.42,14.37,25.24,12.75,15.16,0,0,25208,71.58,1.47,38.74,32.87,7.99,15.54,32457,11859,12316,8628,3643,3613,7225,2183,15.45,11.42,29.25,15.82,5.21,56.33,18.39,20.07,13.28,24.33,10,22.58,14.2,12.28,3.06,75.46,70.29,78.99,77.25,51.21,62.75,167,1.33,463,6.7,28.94,31.53,51.19,0.21,0.91,0.99,1.6,92.93,1.76,4.7,3.27,2.5,2.48,2.53,63.09,3.99,49.69,3,894,86.41,63.56,1.9,32.21,1965,7.44,1.43,36700,53300,74600,37900,230,308,382,152,391,27.7,19,13.3,19,0,3.13,74.82,45.68,71.41,94.63,16.9,876.4,0.47,0
165.71,22792,2.89,0.78,96.87,2,1.35,16.94,27.4,15.95,10.81,17129,75.15,51692,80.77,0.72,54.43,24.52,3.07,15.81,61468,22957,22507,23097,7329,45128,16118,608,2.84,3.89,10.17,40.55,4.45,64.65,21.73,29.4,6.2,42.11,5.7,32.83,8.27,7.07,3.22,84.55,84.43,91.5,85.7,53.76,66.67,167,1.06,1410,6.6,11.49,23.62,36.17,0.41,0.71,1.46,2.24,90.37,1.23,4.54,3.38,2.71,2.98,2.12,75.19,0.72,36.84,3,380,95.41,68.33,0.53,34.47,1967,0.29,0.07,172500,231300,322400,149900,423,647,846,423,734,25.4,22.9,14.2,0,0,6.19,72.2,57.78,77.44,88.92,27.6,824.9,2.06,0
293.63,46521,2.63,4.64,88.62,1.92,8.65,13.62,34.3,15.44,3.99,45399,97.8,36006,93.03,0.77,35.3,10.85,1.81,5.86,41381,15316,15678,13438,14996,14650,9588,2782,6.03,5.28,15.27,25.52,3.72,79.29,20.59,16.86,11.22,28.44,10.89,28.22,14.31,12.61,3.13,80.41,78.77,91.63,83.28,71.44,75.85,446,1.68,2210,13.3,18.37,36.7,53.76,0.63,0.87,1.74,2.55,89.57,2.34,4.25,2.99,2.61,2.91,2.29,57.74,4.74,46.59,3,2041,89.65,51.87,0.15,24.4,1982,4.37,0.06,65400,81600,96800,31400,352,406,491,139,486,23.8,23.1,13.2,0,0,4.76,50.16,32.41,55.33,81.64,37.3,1246.5,0.18,0
395.27,23221,2.61,6.58,92.38,0.78,0.95,13.01,26.64,11.8,7.31,23235,100,38962,87.98,0.87,49.27,15.54,2.32,12.05,44725,17302,17140,16497,3500,39283,11393,785,3.42,4.44,14.51,27.47,2.92,73.86,17.5,23.53,11,32.03,8.89,24.33,13.4,11.28,3.04,80.57,80.02,90.26,86.79,72.37,75.95,237,1.53,377,7.69,14.32,19.1,22.81,0.12,0.23,0.31,0.37,96.54,0.32,2.33,1.73,2.58,2.8,2.1,74.74,0.74,31.87,3,469,94.99,68.94,2.13,14.71,1974,1.3,0.04,57900,73400,94000,36100,307,378,480,173,438,20.2,17.6,11.5,0,0,1.62,71.61,49.39,82.98,87.28,10,2317.5,1.54,0
1678.08,35701,2.46,3.17,93.5,1.8,3.84,11.46,28.31,13.17,14.76,35701,100,30786,75.25,0.18,39.13,31.65,8.59,18.34,37397,14220,14344,13670,24170,11018,8166,3399,9.6,9.36,27.07,11.33,7.59,60.31,12.82,24.08,12.3,20.97,7.76,37.33,11.38,9.73,3.05,69.68,69.25,73.37,69.9,45.85,59.4,790,2.88,4039,15.42,23.64,28.57,32.85,1.75,2.67,3.23,3.72,84.18,3.18,4.38,2.88,2.43,2.68,2.25,45.64,2.52,63.34,2,888,94.24,41.34,0.9,36.37,1939,1.67,0.5,131700,156100,177000,45300,385,521,631,246,611,25.1,24.2,13.7,0,0,11.31,79.86,63.89,87.19,94.49,3.5,10186.3,17.59,0
78.94,22141,2.78,0.31,98.88,0.42,1.62,13.45,22.99,10.72,16.31,0,0,37397,74.69,0.2,49.11,36.05,3.53,23.92,41568,14878,14897,562,15479,38913,15316,943,4.29,7.62,23.05,13.76,6.1,58.54,10.35,24.78,11.8,24.69,5.65,23.72,8.06,6.9,3.12,84.46,81.16,94.54,85.41,56.51,68.46,81,0.49,927,6.26,6.26,7.01,9.49,0.26,0.26,0.29,0.4,92.94,0.6,4.29,3.44,2.76,2.74,2.98,88.06,0.97,35.94,3,1556,83.64,88.93,0.32,62.53,1976,0.43,0.14,104600,130000,171400,66800,545,656,734,189,815,29.7,24.8,15.8,0,0,4.19,73.45,56.47,78.41,95.96,87,254.4,1.19,0
1219.94,108777,3.26,3.01,54.55,8.08,50.64,15.71,31.46,15.23,7.53,108777,100,31271,82.22,0.98,29.49,20.87,11.66,15.22,33121,11351,14318,11375,11467,12656,6829,16652,15.58,23.31,37.7,13.02,10.81,61.85,10.03,17.8,14.34,17.77,9.28,32.84,14.91,12.12,3.67,71.15,66.11,77.12,73.85,62.22,67.53,4009,4.96,28740,13.08,24.21,35.89,44.78,3.45,6.4,9.48,11.83,52.85,16.42,15.8,11.97,3.21,3.12,3.28,44.98,22.21,58.77,2,1217,96.48,46.25,0.99,14.05,1970,3.97,0.73,132400,161500,194000,61600,434,528,647,213,580,28.3,24.4,11.2,68,86,26.42,49.63,41.54,79.66,89.25,19.3,5637.3,2.28,8.33
161.19,18604,2.65,1.4,97.36,0.67,1.27,17.44,29.62,16.84,13.69,0,0,24215,71.35,1,45.67,34.4,6.51,20.35,30570,11428,11311,9778,10230,34137,8487,1840,10.69,8.31,23.57,13.31,6.44,57.57,26.15,27.69,20.29,22.79,8.4,33.44,10.57,9.55,3.07,76.87,75.52,73.21,80.33,68.4,76.94,216,1.41,298,18.46,21.81,32.89,35.57,0.3,0.35,0.53,0.57,96.54,0.29,4.53,3.05,2.45,2.6,2.17,69.4,1.21,45.54,3,452,93.94,65.47,5.97,42.92,1945,4.81,0.32,34000,44400,59600,25600,184,234,284,100,316,22.1,15.7,12.1,0,0,1.6,84.43,57.23,84.54,94.66,6.3,2950.2,0.28,0
