murders,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,OwnOccQrange,RentLowQ,RentMedian,RentHighQ,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LandArea,PopDens,PctUsePubTrans,LemasPctOfficDrugUn
yes,18419,2.54,5.71,92.18,1.57,1.13,18.9,33.27,21.85,14.64,0,0,26151,76.05,0.4,51.69,29.47,5.82,19.82,34108,13797,14268,7146,8857,10811,5670,1573,9.85,10.23,24.39,27.48,3.54,60.18,15.23,32.72,15.06,31.4,8.48,38.52,11.24,10.01,2.87,68.11,66.82,75.79,74.65,74.02,78.96,334,2.62,625,12.64,17.6,17.6,30.72,0.43,0.6,0.6,1.04,94.85,0.4,2.8,1.68,2.2,2.42,1.99,54.53,1.14,48.69,3,437,94.32,49.68,2.06,22.65,1947,3.83,0.39,55400,77900,114100,58700,252,333,408,156,391,24.4,20.1,12.4,62,0,3.39,67.78,43.96,70.68,82.82,5.6,3278.3,0.5,0
no,13882,2.79,0.27,98.57,0.73,0.61,14.62,25.61,11.73,9.9,0,0,39139,80.24,0.63,54.29,23.66,4.65,15.09,45543,16021,16066,18804,4470,14005,8335,765,5.68,7.1,12.68,28.82,2.8,66.67,23.27,24.76,12.86,32.32,7.91,28.39,11.64,9.88,3.21,78.47,79.37,81.05,84.66,66.46,72.25,136,1.23,315,2.86,13.33,16.51,16.51,0.06,0.3,0.37,0.37,96.75,0.81,3.83,2.81,2.71,2.96,1.99,81.27,1.16,36.71,3,123,97.59,74.51,0,30.89,1957,1.41,0.2,72400,90700,119300,46900,314,414,502,188,459,29.7,20.5,11.8,0,0,2.27,68.97,54.63,76.57,88.16,5.6,2485.7,0.74,0
no,12687,2.51,1.35,95.71,0.34,7.87,11.8,21.53,9.88,20.52,0,0,18423,62.23,0.72,39.3,40.98,7.98,21.74,23507,10166,10305,6427,9509,6628,5438,2203,18.95,11.46,25.18,13.7,9.17,43.99,9.09,26.44,10.48,25.79,13.88,21.76,14.14,14.02,2.86,69.97,66.06,79.56,82.05,64.22,73.12,86,0.72,249,5.62,17.67,17.67,17.67,0.11,0.35,0.35,0.35,95.24,0.38,3.7,2.39,2.26,2.32,2.14,67.45,1.88,53.32,2,550,90.19,65.61,1.27,39.27,1961,8.98,0.37,43200,55800,70600,27400,187,259,335,148,321,28.4,20.1,13.3,7,0,1.95,48.48,46.79,72.98,88.25,8.2,1554,0,0
yes,60110,2.51,2.18,93.98,2.84,3.15,11.46,21.5,10.78,18.84,60110,100,49642,75.2,0.8,67.47,35.33,3.78,21.73,60518,26943,27601,14532,14196,18908,15557,2103,3.63,5.83,12.68,46.63,3.96,60.22,11.37,33.34,6.06,45.54,5.17,28.73,8.81,7.19,2.96,83.38,82.81,94.15,80.71,61.15,71.63,460,1.04,7424,13.81,18.14,22.8,26.33,1.71,2.24,2.82,3.25,84.41,2.32,3.11,2.13,2.41,2.58,1.96,78.64,0.91,36.19,3,1105,95.58,73.68,0.36,23.35,1951,0.28,0.08,166100,203300,267100,101000,509,618,739,230,687,26.7,20.5,13.7,0,0,12.35,53.65,63.32,85.68,89.15,22.8,2639.6,4.26,4.07
yes,28703,2.92,3.16,92.98,3.58,1.72,24.9,36.41,26.05,11.79,28683,100,51762,79.04,1.31,68.72,27.46,3.22,16.64,71883,28516,29243,9906,8333,27432,15885,1270,5.31,2.53,7.03,58.16,3.49,56.26,10.57,40.67,3.15,50.96,4,46.19,7.13,5.65,3.05,87.6,85.5,96.11,83.92,53.2,61.13,85,0.49,2131,11.17,16.99,23.32,29.52,0.83,1.26,1.73,2.19,90.5,0.56,4.07,2.67,2.44,2.82,1.78,73.06,0.62,38.8,3,749,92.92,63.1,0.13,37.92,1958,0.43,0.27,167500,266700,389800,222300,581,670,802,221,735,29,19.9,13.8,0,0,7.43,53.53,49.29,61.61,77.89,14.3,2013.5,13.16,0
yes,16029,2.72,29.47,69.3,0.64,1.54,25.94,43.29,31.05,10.42,0,0,20565,77.28,0.91,27.24,25.58,9.84,11.3,27439,11647,13624,7206,0,14590,5795,2934,21.22,17.3,35.69,20.73,7.5,55.98,23.83,24.47,23.11,22.56,9.28,47.97,12.63,11.11,3.01,57.02,52.51,69.13,62.31,66.5,71.53,850,7.97,336,33.63,35.71,50.6,53.27,0.7,0.75,1.06,1.12,95.76,0.57,4.36,2.56,2.32,2.49,2.21,42.78,2.99,61.19,2,690,89.51,39.86,0.58,37.25,1970,12.99,0.24,43900,65700,97600,53700,185,265,353,168,341,26.5,19.3,11.9,0,219,2.1,73.09,38.34,68.22,90.29,15.3,1045.2,0.72,0
yes,40822,2.69,1.01,97.13,0.92,3.22,11.98,24.06,11.02,12.07,35250,86.32,42783,82.72,0.41,56.61,25.1,3.08,18.28,49478,18231,18288,17440,21576,21177,13417,1238,3.1,8.19,19.84,22.48,4.45,68.29,23.41,23.3,13.26,27.7,7.86,26.9,9.93,8.94,3.11,83.83,82.53,92.24,85.03,63.13,75.33,273,0.97,2436,10.59,19.01,25.33,31.77,0.63,1.13,1.51,1.9,89.75,1.41,3.69,2.73,2.63,2.81,2.15,77,1.36,42.84,3,769,95.17,71.93,1.3,33.16,1959,1.01,0.23,141100,169100,207900,66800,392,522,619,227,617,24.9,22.6,13.9,17,3,5.97,69.23,61.42,90.67,93.96,40.4,1009.8,0.47,0
yes,24692,3.34,12.72,83.03,2.64,4.13,13.96,30.62,11.34,1.98,24692,100,30007,94.69,0.76,31.43,7.71,3.15,11.54,30187,9935,10624,6378,9961,5619,7350,2209,8.96,3.97,12.72,14.14,2.85,71.79,16.97,18.9,14.49,22.08,5.71,17.75,7.78,6.72,3.68,88.47,86.89,89.54,84.22,47.68,56.23,182,1.17,867,14.99,20.53,30.68,37.25,0.53,0.72,1.08,1.31,94.4,0.52,7.57,6.45,3.34,3.09,3.55,43.19,3.83,21.77,3,286,96.28,46.55,0,42.66,1971,2.29,0,54300,68700,88900,34600,355,400,443,88,429,22,22.9,10.7,0,0,3.51,29.13,27.71,41.91,53.95,32.4,761.2,0.27,0
no,51881,2.51,1.53,97.96,0.27,0.37,13.93,24.78,12.31,16.8,51881,100,20695,66.54,0.57,37.76,39.2,11.6,15.9,26610,10398,10443,8079,4881,10704,5371,9218,18.03,9.35,26.66,9.48,8.18,51.99,15.73,24.98,18.95,18.98,8.95,29.25,11.97,10.62,3.05,69.65,67.65,74.13,76.65,58.77,64.89,1404,3.16,573,5.06,7.33,16.75,16.75,0.06,0.08,0.19,0.19,96.34,0.37,4.14,2.85,2.47,2.59,2.24,69.29,1.07,37,3,2014,91.13,66.08,1.79,54.02,1939,3.84,0.7,20500,31600,47800,27300,160,218,277,117,285,28.6,16.4,13.7,43,0,1.1,91.12,65.83,91.56,96.06,10.1,5131,1.87,0
no,10069,2.39,0.34,95.51,2.06,2.53,12.55,24.42,11.38,14.52,0,0,24325,72.76,0.78,41.65,30.51,7.12,18.5,30017,12320,12421,8926,6157,12188,4009,1618,16.46,6.58,18,16.36,6.09,58.39,20.05,20.5,20.52,22.35,13.62,27.19,16.25,14.98,2.95,68.16,66.93,77.5,76.41,54.69,65.48,138,1.79,479,4.18,7.31,8.14,9.39,0.2,0.35,0.39,0.45,90.03,1.62,4.43,2.78,2.35,2.46,2.23,53.38,3.15,55.45,2,415,91.04,50.9,4.58,36.39,1939,8.56,1.08,40400,54400,72800,32400,200,261,346,146,297,23.7,17.2,13.4,15,0,4.76,46.01,47.61,70.32,78.91,6,1691.7,0.81,0
yes,37120,3.04,1.06,47.96,32.45,36.29,13.77,28.64,14.2,11.71,37120,100,32559,77.74,0.51,37.06,23.06,11.63,12.92,35991,13733,17313,11260,14945,10702,10416,5540,15.17,14.87,29.14,21.79,6.15,59.54,16.25,21.07,13.28,25.09,7.95,35.83,12,10.09,3.47,73.05,69.01,76.13,80.23,53.92,60.21,964,3.61,15840,20.21,30.51,43.53,56.89,8.62,13.02,18.57,24.28,41.72,17.14,12.4,9.19,3,2.97,3.02,48.09,21.14,67.48,2,520,95.92,48.49,1.92,24.42,1954,2.04,0.46,184600,251600,335800,151200,501,620,734,233,672,30.1,25.7,11.5,0,0,42.67,40.75,44.59,82.46,84.95,4.3,8664.8,4.86,0
no,10701,2.54,3.88,94.36,0.28,2.26,12.74,26.88,12.67,15.18,10701,100,23534,73.82,0,37.85,36,8.83,17.47,29790,11723,11858,10197,6174,8013,5206,1125,10.77,12.14,38.35,7.55,5.25,61.9,43.49,15.41,35.97,12.23,11.62,29.76,13.3,12.52,3.05,68.38,64.24,65.75,75.96,77.72,78.17,404,4.7,64,51.56,51.56,51.56,57.81,0.31,0.31,0.31,0.35,96.46,0.64,4.16,2.77,2.47,2.68,2.12,68.11,1.64,43.06,3,232,94.79,62.77,12.07,56.47,1939,5.07,1.91,42400,55000,71000,28600,207,288,361,154,357,27.3,20.9,13.5,87,0,0.6,91.15,55.75,90.57,96.91,2.5,4299,1.71,0
no,18859,2.48,0.19,98.55,0.9,0.63,12.87,26.19,12.07,14.1,0,0,26771,77.27,0.61,52.78,29.69,7.05,11.42,33874,13509,13350,0,7984,33787,8596,1500,8.08,13.58,23.13,19.83,4.82,65.08,15.3,40.42,14.71,28.61,6.61,27.95,9.26,8.03,3.06,79.08,81.32,86.66,80.09,68.94,78.42,203,1.24,228,10.53,10.53,20.61,20.61,0.13,0.13,0.25,0.25,96.44,0.67,3.46,2.32,2.44,2.77,1.9,70.94,1.09,46.42,3,238,96.97,62.57,0,31.51,1964,2.63,0.11,41700,54500,71300,29600,201,274,340,139,330,22.8,18.4,12.8,2,0,1.21,80.92,51.42,78.23,92.55,10.6,1787.2,0.08,0
yes,51638,3.77,0.62,35.44,34.33,49.66,17.19,31.91,15.97,8.05,51638,100,29770,80.37,0.87,28.07,20.08,17.5,11.88,30905,9796,12601,10771,9424,8792,8413,10149,20.02,26.03,46.16,9.96,8.41,56.21,21.64,17.73,21.77,15.41,6.57,39.48,10.97,8.81,4.08,74,66.59,80.16,78,49.53,55.16,2109,5.27,24987,18.06,27.35,38,56.9,8.74,13.24,18.39,27.53,27.96,24.51,23.14,19.12,3.72,3.47,3.96,46.02,35.92,69.7,2,433,96.94,49.32,2.77,32.56,1957,3.2,0.99,149800,193900,242800,93000,465,581,697,232,648,30.7,24.8,11.8,0,3,48.39,38.8,44.96,83.32,85.84,5.3,9728.3,5.62,0
no,10497,2.81,0.16,99.05,0.66,0.53,13.65,22.52,11.18,14.89,6789,64.68,41449,78.59,1.42,53.58,31.85,2.98,17.57,47420,16298,16347,0,11974,11834,8941,415,4.08,12.67,28.52,20.77,6.22,61.79,21.95,28.4,12.79,29.92,5.4,25.16,6.04,5.73,3.12,89.44,87.39,96.45,86.23,63.53,76.31,59,0.76,450,7.78,7.78,10.44,10.44,0.33,0.33,0.45,0.45,81.57,1.46,3.28,2.65,2.74,2.91,2.01,85.9,0.59,32.36,3,106,97.24,80.8,2.83,43.4,1959,0.13,0,116500,146600,184000,67500,252,433,575,323,518,23.6,21,14.5,0,0,4.29,74.45,68.04,92.06,93.3,24.9,421.5,1.09,0
yes,25084,2.54,1.39,95.76,1.43,1.7,12.23,28.17,12.33,10.81,25084,100,28964,79.51,0.54,38.95,26.72,8.19,15.39,33934,12704,12895,9742,5530,6864,11473,2649,10.66,7.08,26.23,12.99,6.29,64.35,23.62,20.15,18.22,21.44,12.44,34.73,16.58,14.59,3.15,67.97,66.86,76.61,71.16,56.22,64.39,499,2.79,1671,9.63,16.1,23.16,27.05,0.64,1.07,1.54,1.8,91.62,1.16,5.41,3.5,2.54,2.65,2.3,71.03,2.69,47.87,3,349,96.58,68.07,1.72,35.82,1944,3.51,0.21,32000,38400,47200,15200,340,407,466,126,467,25,17.4,14.4,0,0,6.66,76.06,55.42,80.86,93.83,4,6246,1.64,0
yes,17336,2.28,38.74,59.91,0.89,1.07,11.49,25.7,12,13.52,17336,100,26803,72.73,0.41,43.49,29.96,7.1,15.61,34744,16075,21248,7676,9817,38088,15987,3004,17.87,7.97,20.56,40.51,5.77,61.98,8.36,38.42,8.96,43.45,13.3,37.94,17.13,15.55,3.02,54.13,46.3,68.84,47.42,65.39,69.01,1080,8.94,377,15.65,34.22,40.32,41.11,0.34,0.74,0.88,0.89,96.09,0.47,5.71,3.01,2.21,2.37,2.03,56.55,3.22,58.15,2,613,92.55,52.66,11.91,48.12,1950,4.57,1.03,65700,98100,137900,72200,288,375,464,176,439,27.8,23.1,14.8,9,0,2.17,60.23,48.01,70.6,85.6,4.3,4024.1,13.53,6.95
yes,28564,2.27,14.91,80.51,0.88,15.71,10.04,23.5,10.99,19.9,28564,100,21665,66.24,0,38.37,38.38,4.46,18.47,25010,12130,13541,6190,9748,8723,7767,4753,17.08,14.15,32.9,12.51,5.64,55.43,6.16,22.25,11.21,17.85,15.11,31.75,15.33,15.22,2.88,62.69,57.78,60.93,64.64,60.57,65.87,1201,5.82,5824,15.13,29.14,41.69,55.48,3.08,5.94,8.5,11.31,71.53,8.17,5.75,3.23,2.21,2.2,2.22,55.33,7.78,78.33,2,3067,80.38,55.57,3.46,29.74,1962,7.87,0.29,52100,66900,88300,36200,327,387,450,123,453,29.3,24,12.7,0,23,20.39,20.17,42.8,74.38,78.35,5.8,4911.3,2.12,0
yes,196637,2.74,55.75,43.57,0.5,0.45,16.18,29.7,15.17,10.48,196594,100,23270,77.64,0.91,29.46,26.94,10.83,12.77,28401,12216,19315,6719,6269,7230,9703,43216,22.68,9.01,24.97,26.91,8.79,59.11,9.73,30.65,12.48,28.01,10.91,36.89,15.27,13.3,3.27,57.38,50.61,66.54,58.36,72,75.56,16372,10.76,2006,27.12,40.73,50.3,56.58,0.28,0.42,0.51,0.58,96.72,0.45,7.57,5.18,2.64,2.78,2.46,60.21,6.2,45.98,3,7509,90.54,57.3,10.37,40.18,1965,7.47,0.57,39900,54600,76600,36700,175,290,375,200,388,28.8,21.8,14,93,2,1.02,82.08,54.94,84.57,93.26,112.9,1741.2,1.86,4
no,13142,2.43,1.36,81.06,0.4,1,18.23,27.66,16.62,19.02,0,0,17278,63.37,0.69,35.96,40.44,7.37,19.49,21952,9860,10732,1218,6279,14873,7671,2488,20.56,11.66,28.99,13.82,9,47.75,18.28,28.76,15.48,23.76,9.31,27.77,14.17,11.98,2.83,69.92,67.64,81.66,77.29,53.75,64.59,91,0.81,66,0,16.67,16.67,27.27,0,0.08,0.08,0.14,97.7,0.3,2.62,1.7,2.23,2.28,2.14,69.05,1.31,48.64,3,598,90.05,67.68,1.84,53.68,1956,9.68,0.45,21000,33000,47800,26800,137,192,245,108,250,26.3,16.9,11.6,33,0,0.5,57.37,53.38,78.62,89.39,9.7,1361.6,0.12,0
yes,28898,2.61,2.39,71.27,9.09,24.43,12.99,25.21,11.63,12.12,28664,99.19,23287,68.89,1.2,27.54,28.62,19.05,17.29,27897,11510,13074,8163,9874,6827,8275,5287,18.5,13.93,33.68,8.86,9.27,53.35,9.44,17.75,19.61,17.44,15.77,29.72,18.84,17.31,3.2,62.64,60.23,72.43,66.15,50.44,57.32,1152,4.85,4765,31.54,39.5,46.32,55.97,5.2,6.51,7.64,9.23,74.98,7.76,8.58,5.7,2.58,2.45,2.76,52.72,11.31,61.63,2,600,94.85,55.68,3.67,28.67,1960,7.37,1.43,68400,87600,114900,46500,272,369,449,177,426,30.9,21.2,11.6,10,2,16.49,55.29,48.74,66.2,89.08,21.7,1331,1.39,0
no,13989,2.48,3.77,87.34,0.3,13.97,13.4,24.92,12.38,17.24,0,0,20742,64.95,0.82,45.55,37.23,14.32,23.05,26537,10172,10779,5055,8009,6695,4771,2593,18.67,12.6,29.22,10.18,11.19,52.03,26.3,26.55,22.76,16,9.49,32.35,12.37,11.06,3.06,64.53,62.07,72.18,67.36,54.12,66.96,599,4.92,288,6.94,8.68,11.11,18.06,0.14,0.18,0.23,0.37,83.02,2.98,4.77,3.17,2.46,2.54,2.3,67.11,1.95,36.53,3,300,94.96,64.9,2.67,51,1939,9.52,0.12,31400,41700,56400,25000,201,256,302,101,320,31.9,16.9,14.3,0,0,2.06,81.52,63.16,89.58,93.2,4.7,2980.2,0.83,0
yes,19800,2.35,5.44,93.56,0.44,0.91,12.59,24.72,11.63,17.34,0,0,19775,69.01,1.01,38.3,38.71,7.68,15.33,25419,10455,10702,6807,5786,5822,12025,2924,15.01,14.66,30.89,11.26,9.11,55.7,24.05,23.57,23.19,20.88,11.11,23.21,13.72,12.53,2.92,73.8,68.45,79.35,71.29,71.99,74.37,211,1.26,199,31.16,36.68,44.22,57.79,0.31,0.37,0.44,0.58,97.18,0.5,3.49,2.31,2.32,2.4,2.16,71.19,1.7,53.59,2,898,90.36,69,2,47.66,1953,8.63,0.55,24400,37200,54200,29800,164,224,286,122,321,26.5,18.1,13.4,0,0,1.01,75.17,54.11,78.3,91.38,11.6,1701,0.27,0
