AtBat,Hits,HmRun,Runs,RBI,Walks,Years,CAtBat,CHits,CHmRun,CRuns,CRBI,CWalks,League,Division,PutOuts,Assists,Errors,Salary,NewLeague
514,144,0,67,54,79,9,4739,1169,13,583,374,528,N,E,229,453,15,1940,N
408,117,11,66,41,34,1,408,117,11,66,41,34,N,W,942,72,11,120,N
19,4,1,2,3,1,1,19,4,1,2,3,1,N,W,692,70,8,920,A
637,174,31,89,116,56,14,6727,2024,247,978,1093,495,N,W,278,9,9,1041.667,N
160,39,8,18,31,22,14,2128,543,56,304,268,298,A,E,33,3,0,275,A
459,113,20,59,57,68,12,5348,1369,155,713,660,735,A,W,0,0,0,740,A
631,170,9,77,44,31,11,4908,1457,30,775,357,249,A,W,408,4,3,1000,A
512,117,29,54,88,43,6,1750,412,100,204,276,155,A,W,1236,98,18,100,A
216,54,2,27,25,33,1,216,54,2,27,25,33,N,W,317,36,1,75,N
486,145,11,51,76,40,11,3967,1102,67,410,497,284,N,E,88,204,16,500,A
265,68,8,26,30,29,7,1337,339,32,135,163,128,N,W,92,5,3,425,A
560,161,26,89,96,66,4,1789,470,65,233,260,155,N,W,332,9,8,625,N
600,139,0,94,29,60,2,1236,309,1,201,69,110,N,E,300,12,9,160,N
379,106,10,38,60,30,14,6207,1906,146,859,803,571,N,W,72,170,24,850,N
565,148,24,90,104,77,14,7287,2083,305,1135,1234,791,A,E,292,9,5,1861.46,A
271,77,5,35,29,33,12,4933,1358,48,630,435,403,A,W,62,90,3,450,A
258,60,8,28,33,18,3,638,170,17,80,75,36,A,W,358,32,8,137,A
642,211,14,107,59,52,5,2364,770,27,352,230,193,N,W,337,19,4,740,N
429,91,12,41,42,57,13,5590,1397,83,578,579,644,A,W,686,46,4,825,N
438,103,2,65,32,71,2,440,103,2,67,32,71,A,W,276,7,9,100,N
330,77,19,47,53,27,6,1928,516,90,247,288,161,N,W,149,8,6,670,N
473,154,6,61,48,29,6,1966,566,29,250,252,178,A,E,846,84,9,580,A
627,177,25,98,81,70,6,3210,927,133,529,472,313,A,E,240,482,13,1350,A
280,82,16,44,45,47,2,428,113,25,61,70,63,A,E,148,4,2,110,A
480,112,18,50,71,44,7,3031,771,110,338,406,239,N,E,94,270,16,750,N
244,58,9,28,25,35,4,1335,333,49,164,179,194,N,W,142,14,2,340,N
585,139,31,93,94,62,17,7546,1982,315,1141,1179,727,A,E,0,0,0,950,A
351,97,4,55,29,39,4,1258,353,16,196,110,117,N,W,226,7,3,210,A
616,163,27,83,107,32,3,1437,377,65,181,227,82,A,W,110,308,15,200,A
311,81,3,42,30,26,17,8247,2198,100,950,909,690,N,W,153,223,10,320,N
513,137,20,90,95,90,14,5201,1382,166,763,734,784,A,W,267,5,3,900,A
236,56,0,27,15,11,4,1115,270,1,116,64,57,A,W,125,199,13,230,A
309,94,5,37,32,26,13,4618,1330,57,616,522,436,N,E,161,3,3,600,N
360,81,5,37,44,37,7,2268,566,41,279,257,246,N,E,170,284,3,525,N
580,207,8,107,71,105,5,2778,978,32,474,322,417,A,E,121,267,19,1600,A
193,47,10,21,29,24,6,1136,256,42,129,139,106,A,W,299,13,5,245,A
357,96,7,50,45,39,5,1394,344,43,178,192,136,A,W,167,2,4,300,A
591,184,20,83,79,38,5,1689,462,40,219,195,82,N,W,303,12,5,630,N
510,147,10,56,52,53,7,2872,821,63,307,340,174,N,E,810,99,18,1150,N
394,86,1,38,28,36,4,1089,267,3,94,71,76,N,E,203,369,16,250,N
327,85,3,30,44,20,8,2140,568,16,216,208,93,A,E,91,185,12,362.5,A
578,138,1,56,59,34,3,1399,357,7,149,161,87,N,E,133,371,20,160,N
348,90,11,50,45,43,10,2288,614,43,295,273,269,A,E,60,176,6,450,A
184,47,5,20,28,18,11,3327,890,74,419,382,304,N,W,49,2,0,450,N
641,198,31,101,108,41,5,2129,610,92,297,319,117,A,E,269,17,10,1175,A
614,163,29,89,83,75,11,5017,1388,266,813,822,617,N,W,303,6,6,1900,N
663,200,29,108,121,32,4,1447,404,57,210,222,68,A,E,241,8,6,250,A
359,80,15,45,48,63,7,1493,359,61,176,202,175,N,W,682,93,13,700,N
165,39,2,13,9,16,3,196,44,2,18,10,18,A,W,332,19,2,75,N
151,41,4,26,21,19,2,288,68,9,45,39,35,A,W,28,56,2,95,A
625,179,4,94,60,65,5,1696,476,12,216,163,166,A,E,303,450,14,575,A
475,126,3,61,43,52,6,1700,433,7,217,93,146,A,W,37,113,7,385,A
589,149,21,89,86,64,7,3558,928,102,513,471,351,A,E,371,6,6,787.5,A
127,32,8,16,22,14,8,727,180,24,67,82,56,N,W,202,22,2,135,N
574,152,31,91,101,64,3,985,260,53,148,173,95,N,W,1253,111,11,215,N
281,76,3,42,25,20,8,2658,657,48,324,300,179,A,E,106,144,7,341.667,A
288,65,8,30,36,27,9,2815,698,55,315,325,189,N,E,259,30,10,650,A
576,167,8,89,49,57,4,822,232,19,132,83,79,N,E,325,12,8,210,N
298,73,0,24,24,7,3,509,108,0,41,37,12,A,W,121,283,9,100,A
445,99,1,46,24,29,4,618,129,1,72,31,48,A,W,278,415,16,87.5,A
368,103,3,48,28,54,8,1897,493,9,207,162,198,N,W,209,246,3,326.667,N
246,76,5,35,39,13,6,912,234,12,102,96,80,A,E,44,0,1,250,A
312,68,2,32,22,24,1,312,68,2,32,22,24,A,E,86,150,15,70,A
257,66,5,31,26,32,14,3910,979,33,518,324,382,N,W,87,166,14,250,A
464,128,28,67,94,52,13,5829,1552,210,740,840,452,A,W,0,0,0,587.5,A
526,146,13,71,70,84,6,2648,715,77,352,342,289,N,W,303,9,9,815,N
677,238,31,117,113,53,5,2223,737,93,349,401,171,A,E,1377,100,6,1975,A
495,151,17,61,84,78,10,5624,1679,275,884,1015,709,A,E,1045,88,13,2460,A
199,52,9,26,28,21,6,805,191,30,113,119,87,N,W,235,22,5,265,N
208,57,8,32,25,18,3,653,170,17,98,54,62,N,E,42,94,13,140,N
472,118,12,63,54,30,4,793,187,14,102,80,50,A,W,228,377,26,155,A
629,168,18,73,102,40,18,8424,2464,164,1008,1072,402,A,E,1067,157,14,776.667,A
594,169,4,74,51,35,11,4408,1133,19,501,336,194,A,W,282,421,25,750,A
618,200,20,98,110,62,13,7127,2163,351,1104,1289,564,A,E,330,16,8,2412.5,A
