id,geschlecht,alter,groesse,gewicht,einkommen,bildung,konfession,kinder,glueck,fitness,essen,alkohol,tattoos,rhein,datause,arztbesuche,wandern,fasnacht,sehhilfe
64,f,60,172.3,66.6,NA,lehre,andere,3,5,6,NA,31,2,2,72,2,85,nein,ja
65,f,60,149.3,53.6,9700,lehre,katholisch,1,4,2,910,27,0,2,91,1,60,nein,ja
66,m,56,187.9,73.7,9700,sek III,katholisch,2,6,4,1500,0,0,3,72,3,97,nein,ja
67,f,79,158.5,57.4,12400,sek III,konfessionslos,3,7,6,1090,34,4,5,83,6,84,nein,nein
68,f,73,161.5,71.1,11700,lehre,evangelisch-reformiert,4,7,6,1370,27,0,8,74,2,41,nein,ja
69,m,45,162.9,78.7,7300,sek III,muslimisch,1,5,6,400,59,1,6,78,3,90,nein,ja
70,f,68,156.3,55,9600,lehre,konfessionslos,1,5,3,790,40,0,4,71,2,56,nein,nein
71,m,83,170.6,NA,14900,lehre,katholisch,4,6,3,1580,16,0,0,108,4,79,nein,ja
72,f,24,193.8,45.3,4200,lehre,konfessionslos,2,6,9,740,33,0,6,105,6,52,nein,ja
73,m,40,184.9,NA,6900,lehre,katholisch,1,8,6,570,44,0,4,84,3,60,nein,ja
74,f,37,180.8,64.5,9600,sek III,konfessionslos,1,4,3,910,32,0,0,77,0,81,nein,ja
75,f,57,170.8,59.2,9100,obligatorisch,NA,1,8,6,1100,21,0,3,79,5,39,nein,nein
76,m,30,169.4,69.3,6600,sek II,konfessionslos,2,6,6,530,33,6,6,106,3,39,nein,nein
77,m,35,173.8,71.8,7500,sek III,evangelisch-reformiert,3,4,5,410,56,10,2,63,2,83,nein,ja
78,f,41,164.5,71.7,8000,obligatorisch,muslimisch,1,8,6,1100,22,0,1,70,6,82,nein,nein
79,m,26,160.1,106.6,2700,sek II,katholisch,3,8,6,360,68,0,3,66,2,90,nein,ja
80,m,73,183.9,94,10900,sek III,evangelisch-reformiert,0,6,3,1020,23,0,4,68,3,54,nein,nein
81,m,27,189.6,105.9,NA,lehre,katholisch,2,8,4,NA,36,0,0,88,2,49,nein,nein
82,f,26,191.2,62.6,3500,obligatorisch,NA,0,4,7,420,30,4,4,129,2,62,nein,ja
83,m,61,174.3,102.3,10300,sek III,konfessionslos,3,6,5,800,68,7,3,78,4,35,nein,ja
84,f,73,171.8,66.3,11200,sek III,evangelisch-reformiert,1,8,2,1530,26,6,6,67,8,37,ja,nein
85,f,52,169.5,68.8,8600,sek II,evangelisch-reformiert,2,6,4,1040,0,1,3,49,5,75,nein,ja
86,m,75,151.1,71.5,9800,sek III,NA,2,6,5,820,41,0,5,47,3,53,nein,ja
87,f,73,153,63.9,NA,obligatorisch,katholisch,2,7,7,NA,0,0,6,81,6,90,nein,nein
88,m,36,179.2,NA,6800,sek III,konfessionslos,1,9,3,790,43,1,0,96,3,65,nein,ja
89,m,20,179.7,70.3,1600,lehre,katholisch,2,6,7,410,13,10,1,118,1,55,nein,nein
90,m,57,177.7,91.4,6900,sek III,NA,2,7,5,970,29,0,4,147,4,62,nein,nein
91,f,42,166.5,66.4,8200,sek III,evangelisch-reformiert,0,7,6,890,37,0,5,69,3,77,nein,ja
92,f,26,167.6,61.8,6700,sek II,andere,1,6,3,660,13,0,5,51,7,18,nein,ja
93,m,73,175,NA,10800,sek III,evangelisch-reformiert,1,6,5,1530,11,0,5,108,4,59,nein,nein
94,f,56,179.8,56.8,10000,sek III,konfessionslos,1,8,9,940,33,4,5,78,4,42,nein,nein
95,f,38,171.9,65,5600,sek III,evangelisch-reformiert,0,7,7,670,15,7,5,93,6,57,nein,ja
96,m,29,165.5,57,6500,obligatorisch,konfessionslos,4,8,4,320,72,1,3,72,2,63,nein,ja
97,f,30,151,NA,NA,sek II,katholisch,3,3,3,NA,13,6,6,70,5,64,nein,ja
98,m,45,174.4,60,5000,sek III,katholisch,1,3,4,200,53,0,3,99,6,14,nein,ja
99,m,28,169.3,79.3,6100,obligatorisch,muslimisch,2,7,2,1080,20,9,6,41,2,29,nein,ja
100,f,29,177.5,68,5300,sek III,evangelisch-reformiert,4,9,8,710,22,0,6,50,8,58,nein,ja
101,m,36,193.8,86.7,7800,sek III,katholisch,0,2,7,590,41,0,8,53,3,37,nein,nein
102,m,23,188.7,97.1,4500,sek III,katholisch,1,9,7,810,0,5,5,105,3,57,nein,ja
103,m,36,163.7,54.1,5700,lehre,NA,3,2,5,290,34,3,0,77,2,87,nein,nein
104,m,59,176.7,NA,NA,sek III,muslimisch,2,10,5,NA,38,0,2,84,2,41,nein,ja
105,m,60,180.2,94.6,7700,lehre,konfessionslos,3,3,4,570,29,0,1,79,3,40,nein,ja
106,m,48,179.4,86.8,NA,sek III,konfessionslos,2,6,5,NA,50,6,3,69,3,27,nein,nein
107,f,73,167,58.5,10300,obligatorisch,evangelisch-reformiert,2,6,8,1450,5,3,6,108,4,25,nein,nein
108,f,65,176.9,59.8,10700,lehre,katholisch,3,8,3,1720,0,0,8,61,6,71,nein,nein
109,f,73,169.2,57.2,12400,sek III,evangelisch-reformiert,3,6,6,1300,34,5,9,120,6,56,nein,ja
110,m,38,177.3,99.5,5700,lehre,evangelisch-reformiert,3,5,8,420,31,0,7,86,1,52,nein,ja
111,f,57,152.9,60.9,9600,sek III,evangelisch-reformiert,1,6,6,1480,0,0,4,72,3,69,nein,ja
112,f,61,165.9,NA,10600,sek III,evangelisch-reformiert,1,6,3,1230,22,2,2,100,3,76,nein,nein
113,m,73,180.1,NA,11600,sek II,NA,2,7,6,1040,33,0,0,80,4,17,nein,ja
114,m,27,197.7,NA,NA,lehre,katholisch,3,9,5,NA,34,0,5,63,2,87,nein,ja
115,m,54,187.7,56.9,7900,obligatorisch,katholisch,1,6,5,320,59,0,2,106,4,90,nein,nein
116,m,22,183.6,100,2800,sek II,katholisch,3,6,3,210,9,1,8,103,5,83,nein,ja
117,m,43,163.9,NA,5400,sek III,evangelisch-reformiert,1,4,2,200,62,6,6,80,5,48,nein,nein
118,f,73,154,51.7,12600,obligatorisch,NA,0,4,10,1140,20,3,7,108,8,9,nein,ja
119,m,73,151.1,80.7,11800,lehre,NA,1,4,4,1360,0,0,7,107,1,113,nein,nein
120,f,72,168.6,62.3,10300,lehre,NA,1,8,8,1180,6,2,3,69,5,49,nein,ja
121,m,70,175.9,NA,11300,lehre,katholisch,1,4,5,730,43,7,6,82,6,29,nein,ja
122,f,65,165.8,89.1,10900,sek II,konfessionslos,1,7,5,850,37,6,9,92,2,33,nein,ja
123,m,55,184.9,79.7,9200,lehre,NA,2,8,6,1120,42,9,7,92,3,13,nein,ja
124,f,73,167.4,63.6,12200,lehre,konfessionslos,3,4,5,1460,16,1,7,109,2,99,nein,nein
125,m,53,175.5,NA,9000,lehre,konfessionslos,1,3,1,520,39,1,5,76,3,77,nein,nein
126,f,39,160,60.2,6400,sek III,andere,2,5,4,690,35,7,4,122,7,50,nein,nein
127,m,52,171,87.7,12900,sek III,katholisch,1,4,6,1500,0,0,3,55,4,86,nein,ja
128,m,57,173.1,87.7,8800,sek III,katholisch,1,10,5,1380,7,0,4,89,1,49,nein,ja
129,f,31,158.5,58.6,7000,sek III,konfessionslos,1,8,4,790,34,5,0,70,5,49,nein,ja
130,m,49,166.3,NA,11100,sek III,konfessionslos,1,3,8,1320,0,6,0,89,3,41,nein,ja
131,f,40,151.5,61,6400,lehre,NA,1,8,4,1110,22,4,4,71,5,69,nein,nein
132,m,73,199.5,85.1,NA,lehre,katholisch,0,5,5,NA,27,0,1,105,2,78,nein,nein
133,f,29,155.3,56,7900,sek III,muslimisch,1,2,7,460,22,4,5,113,2,52,nein,nein
134,f,35,144.5,62.5,9100,lehre,katholisch,1,6,9,770,26,0,2,111,5,46,nein,ja
135,f,23,166.9,76.2,1700,sek III,konfessionslos,1,6,7,380,0,4,4,107,2,40,nein,ja
136,m,40,172.8,100.8,9700,lehre,katholisch,4,5,8,840,30,0,5,94,0,110,nein,nein
137,m,33,170.7,82.1,7300,lehre,katholisch,1,5,6,810,15,0,3,92,1,88,nein,ja
138,f,26,161.3,NA,5400,lehre,katholisch,2,8,6,1000,0,0,1,112,2,80,nein,ja
139,f,37,163.1,NA,7300,sek II,katholisch,1,9,6,1060,27,0,5,56,5,26,nein,ja
140,m,33,183.2,93,6300,lehre,NA,1,5,3,370,37,1,0,103,0,44,nein,ja
141,f,64,154.3,57.1,NA,obligatorisch,NA,1,7,2,NA,34,0,5,71,3,56,nein,ja
142,f,64,166.7,65.7,11100,lehre,andere,0,7,8,640,29,2,5,128,7,28,nein,nein
143,m,22,175.3,81.9,NA,sek III,evangelisch-reformiert,4,7,6,NA,22,5,6,84,0,76,nein,nein
144,m,59,175.1,77.1,8600,lehre,konfessionslos,1,4,2,670,43,0,4,145,5,51,nein,ja
145,m,65,169.6,84.1,NA,lehre,konfessionslos,2,8,1,NA,39,0,2,93,2,56,nein,nein
146,m,73,197,87.6,NA,lehre,NA,2,9,5,NA,19,0,5,75,5,63,nein,nein
147,f,68,151.5,NA,12600,lehre,evangelisch-reformiert,3,6,6,1210,34,0,4,58,5,54,nein,nein
148,f,28,185.1,56.2,4600,lehre,katholisch,2,8,7,530,16,0,5,81,2,74,nein,ja
149,m,26,166.2,83.2,7900,sek III,konfessionslos,1,5,3,820,37,4,1,90,3,77,nein,ja
150,m,43,166.5,NA,7100,lehre,konfessionslos,2,6,4,420,42,0,2,139,3,52,nein,ja
151,f,73,164.1,73.6,12300,lehre,evangelisch-reformiert,2,9,6,1850,0,5,3,109,5,75,nein,nein
152,f,23,171.1,62.8,5300,sek III,katholisch,1,8,6,380,29,0,1,81,6,49,nein,ja
153,m,55,191.5,75.9,7600,lehre,NA,3,7,3,730,51,4,4,128,3,73,nein,ja
154,f,53,167.4,58.9,8400,sek II,konfessionslos,1,4,7,1140,20,0,3,91,4,39,nein,nein
155,f,53,155.3,74.3,7800,lehre,andere,1,6,4,380,52,3,4,61,3,33,nein,ja
156,f,47,140.3,57.1,7800,lehre,konfessionslos,2,4,4,790,20,0,2,117,3,70,nein,nein
157,f,59,158.8,66,10100,lehre,NA,1,9,6,1130,21,0,7,98,6,55,nein,ja
158,f,38,162.2,61.9,6100,lehre,katholisch,1,5,5,600,37,7,4,95,4,94,nein,ja
159,m,73,176.2,104,11000,lehre,konfessionslos,1,10,9,1200,31,0,3,128,2,51,nein,ja
160,f,61,146.6,58.4,11300,sek III,konfessionslos,0,4,5,1180,27,5,3,79,3,84,nein,ja
161,f,24,157.2,70,NA,obligatorisch,NA,2,8,5,NA,29,0,3,117,8,75,nein,nein
162,f,44,163.8,81.8,9300,sek III,konfessionslos,1,6,5,1300,0,0,1,112,2,87,nein,ja
163,m,70,188.4,91.2,14200,sek II,konfessionslos,3,5,5,900,58,0,4,96,3,70,nein,nein
164,m,56,160.6,NA,10700,lehre,NA,1,7,9,980,38,6,7,83,3,84,nein,ja
165,m,63,174.9,91.9,8600,obligatorisch,NA,1,6,4,1210,29,0,8,109,4,77,nein,ja
166,m,30,185.8,71.4,5800,sek III,evangelisch-reformiert,2,6,2,730,39,0,4,58,4,35,nein,nein
167,m,36,174.9,102.4,4400,lehre,katholisch,3,9,5,490,47,4,8,81,2,11,nein,ja
168,m,48,166,115,8900,lehre,evangelisch-reformiert,1,4,9,630,33,5,5,54,2,46,nein,ja
169,m,26,176.2,103.3,4900,lehre,katholisch,0,9,2,1020,0,0,6,83,4,68,nein,nein
170,m,57,177.9,78.1,10900,sek III,konfessionslos,4,8,2,1060,37,0,6,93,2,46,nein,nein
171,m,42,164.8,98.3,6300,sek III,konfessionslos,3,7,8,700,0,0,6,110,3,97,nein,ja
172,f,25,154.2,57.8,2400,lehre,katholisch,1,8,6,540,0,2,6,84,7,80,nein,nein
173,m,30,189.7,72.9,4900,lehre,andere,0,7,7,790,0,2,0,95,2,48,nein,ja
174,f,49,155.9,67.3,8000,lehre,evangelisch-reformiert,2,5,5,1270,0,4,4,31,4,49,ja,ja
175,f,64,188.7,60.1,8100,lehre,NA,3,4,7,860,17,0,0,88,6,79,nein,ja
176,f,73,155.2,48.3,12500,lehre,evangelisch-reformiert,2,8,7,1340,31,4,3,65,3,65,nein,ja
177,m,57,179.7,75.3,10100,sek II,evangelisch-reformiert,2,6,6,1280,41,0,5,98,4,104,nein,ja
178,m,23,174.8,88.4,4900,lehre,NA,3,5,2,120,45,5,5,89,4,67,nein,ja
179,f,67,158.2,62.6,12200,sek III,konfessionslos,2,7,6,1170,29,0,4,97,2,29,nein,nein
180,f,41,166.7,NA,9000,sek II,katholisch,0,6,7,950,24,0,4,100,9,47,nein,ja
181,f,50,172.8,52.6,6200,sek III,katholisch,1,6,4,460,22,4,4,77,10,72,nein,ja
182,m,51,142.8,85.5,8600,lehre,katholisch,3,5,2,770,64,8,2,108,2,90,nein,ja
183,f,18,175.3,72.4,4900,sek II,konfessionslos,1,5,4,580,28,0,1,79,4,80,nein,ja
184,f,39,158.5,48,3600,sek II,evangelisch-reformiert,2,6,7,-200,34,0,3,65,5,86,nein,ja
185,f,73,173.5,62.2,11000,sek III,konfessionslos,1,4,4,530,24,0,4,58,1,66,nein,nein
186,m,61,166.6,92.7,10700,lehre,evangelisch-reformiert,1,8,3,1180,50,7,1,48,2,87,nein,ja
187,f,34,173.5,57.3,NA,obligatorisch,katholisch,3,6,6,NA,18,0,0,78,3,40,nein,ja
188,f,55,170.3,NA,10800,sek II,evangelisch-reformiert,2,5,5,1350,17,0,6,82,3,93,nein,nein
189,f,44,172.7,63,10100,sek III,evangelisch-reformiert,1,7,5,1340,29,0,3,90,6,29,nein,ja
190,f,51,163,69.2,7400,lehre,konfessionslos,0,6,4,470,46,9,0,104,7,68,nein,ja
191,m,41,163.6,109.5,9900,sek II,evangelisch-reformiert,0,5,4,910,32,0,1,95,4,19,nein,ja
192,f,56,156.4,73.8,NA,lehre,evangelisch-reformiert,0,7,9,NA,17,0,5,84,5,64,nein,ja
193,m,40,193.2,74.5,8100,obligatorisch,NA,1,9,2,670,55,0,1,81,4,105,nein,nein
194,m,56,162.1,90.1,8100,sek III,konfessionslos,5,8,3,590,49,0,1,86,3,73,nein,nein
195,f,45,153.6,74.2,NA,sek II,evangelisch-reformiert,3,7,1,NA,14,0,5,89,7,51,nein,nein
196,m,29,185.3,87.3,5900,lehre,katholisch,2,5,6,70,61,0,0,105,3,47,nein,ja
197,f,68,159.2,NA,9700,lehre,katholisch,2,8,4,970,32,1,0,113,8,77,nein,ja
198,f,52,157.6,62.8,8500,sek III,andere,1,6,4,730,31,1,4,79,5,38,nein,nein
199,f,49,180.3,NA,9300,lehre,evangelisch-reformiert,2,7,4,770,28,0,1,80,2,78,nein,nein
200,f,44,143.3,NA,8300,lehre,katholisch,1,2,4,380,27,0,3,111,1,96,nein,ja
201,f,88,160.9,55.8,NA,lehre,evangelisch-reformiert,0,5,4,NA,33,0,2,101,4,34,nein,nein
202,f,30,159.2,69.9,NA,sek III,evangelisch-reformiert,3,4,6,NA,20,1,4,96,2,35,nein,ja
203,f,27,147.4,69.5,2800,sek II,konfessionslos,1,9,5,360,31,4,4,110,3,17,nein,nein
204,f,46,169.4,60.5,9700,lehre,katholisch,4,6,6,1340,10,4,2,99,8,77,nein,nein
205,m,18,189.8,101,3300,lehre,muslimisch,3,7,3,120,43,6,6,72,3,83,nein,nein
206,m,42,176.9,64.7,6800,sek III,konfessionslos,1,4,7,850,0,3,5,90,2,33,nein,nein
207,m,29,196.3,112.3,5800,lehre,NA,1,3,3,430,38,0,5,86,3,79,nein,ja
208,m,25,177.6,89.2,4700,sek III,katholisch,1,7,4,760,29,1,2,70,3,64,nein,nein
209,f,49,170.7,64.6,6200,lehre,katholisch,1,6,5,760,33,0,0,63,4,32,nein,ja
210,m,49,170.4,80.6,NA,sek III,muslimisch,1,5,6,NA,52,0,7,94,3,70,nein,ja
211,f,73,158.9,54,11700,sek II,NA,1,7,9,1370,0,0,7,127,1,43,nein,nein
212,m,48,178.6,85.6,NA,sek III,konfessionslos,2,5,4,NA,15,0,1,83,7,59,nein,ja
213,m,44,182,93.9,7200,obligatorisch,konfessionslos,1,7,10,680,30,3,5,91,1,42,nein,nein
214,f,36,142.9,73,6100,obligatorisch,katholisch,2,4,3,440,27,0,6,105,5,42,ja,ja
215,m,73,187.4,88.2,NA,sek III,konfessionslos,2,6,5,NA,34,0,7,75,0,51,nein,nein
216,f,55,164.3,57.1,9700,lehre,andere,3,4,6,1130,0,0,5,96,6,54,nein,nein
217,m,35,181.1,71.1,NA,sek III,katholisch,1,8,6,NA,39,3,6,74,4,49,ja,nein
218,f,30,175.5,65.3,5500,sek III,katholisch,2,8,6,870,8,4,5,109,2,27,nein,ja
219,m,23,171.9,113.1,4900,lehre,konfessionslos,1,5,5,-20,47,3,7,134,2,70,nein,ja
220,m,19,190.5,78.1,6000,lehre,katholisch,2,5,4,260,63,0,8,98,4,85,nein,ja
221,f,61,178.6,60.1,12100,lehre,katholisch,2,8,5,1490,31,0,5,78,3,61,nein,ja
222,m,55,174.8,NA,9000,sek III,katholisch,1,3,4,470,52,1,7,123,3,38,nein,ja
223,f,58,162.9,53.6,7200,lehre,evangelisch-reformiert,1,9,3,1040,19,0,2,119,6,51,nein,nein
224,m,66,181.8,NA,10100,sek II,katholisch,2,7,5,760,57,3,1,86,2,26,nein,ja
225,m,28,166,102.2,4500,lehre,andere,5,6,2,500,39,0,2,111,2,31,nein,nein
226,f,32,170,57.9,4400,sek II,konfessionslos,0,3,6,230,28,0,0,92,3,43,nein,ja
227,f,30,161.2,66.3,4100,lehre,katholisch,1,6,1,470,9,2,4,52,9,97,nein,ja
228,f,66,150.2,NA,11200,lehre,NA,3,3,6,1250,13,7,4,94,5,29,nein,ja
229,f,32,175,77.1,5000,lehre,katholisch,3,5,7,630,26,0,6,52,4,51,nein,nein
230,m,62,205,80.8,13000,sek III,andere,3,3,3,930,29,5,4,52,2,110,nein,ja
231,m,64,188.7,94.6,NA,sek III,NA,2,5,6,NA,43,7,4,97,2,65,nein,nein
232,f,61,162.8,65.9,12400,sek III,andere,2,4,8,1210,0,0,4,101,5,70,nein,nein
233,f,89,174.5,53,14500,sek III,katholisch,2,3,2,920,24,4,5,70,6,76,nein,ja
234,f,25,167.4,60.5,1900,sek III,NA,1,5,4,680,0,4,6,102,1,62,nein,nein
235,m,38,174.4,80.8,NA,lehre,evangelisch-reformiert,2,7,4,NA,50,4,6,68,5,61,nein,nein
236,m,36,170,66.9,7300,sek III,katholisch,0,6,6,780,51,0,5,87,2,104,nein,ja
237,m,73,190.9,75.8,10800,lehre,konfessionslos,1,7,4,1300,28,0,3,101,1,106,nein,ja
238,f,73,176.9,64.8,10400,sek III,konfessionslos,2,7,7,960,27,0,7,82,2,41,nein,nein
239,m,20,190,79.4,4500,lehre,katholisch,3,8,5,1110,0,4,6,74,2,59,nein,ja
240,f,48,182,57.4,9400,lehre,katholisch,1,6,4,1040,36,0,1,66,5,61,nein,ja
241,m,60,170.6,81.4,11400,sek III,konfessionslos,2,5,9,750,53,0,6,79,1,63,nein,ja
242,m,36,191.4,74.6,NA,sek III,NA,3,3,8,NA,77,0,0,53,4,22,nein,nein
243,f,59,160.9,NA,10700,sek III,andere,2,5,2,1330,35,0,0,76,10,53,nein,nein
244,m,83,165.6,82.4,16400,lehre,evangelisch-reformiert,3,2,3,1780,0,1,4,71,4,56,nein,ja
245,f,51,168.5,75.3,8300,sek III,NA,2,8,5,1240,10,0,1,46,9,57,nein,nein
246,m,27,194.9,NA,4800,lehre,katholisch,1,9,6,750,35,0,3,81,2,59,nein,nein
247,f,48,175,67.1,6200,sek III,katholisch,2,5,3,450,19,0,5,94,8,56,nein,ja
248,m,44,180.1,78.2,8900,sek III,katholisch,2,5,8,460,49,5,4,66,1,78,nein,ja
249,f,62,171.4,59.4,8500,sek III,evangelisch-reformiert,1,8,3,1100,39,0,3,61,3,68,nein,nein
250,f,34,153,67.5,4200,sek III,konfessionslos,3,9,9,670,29,0,2,86,5,62,nein,ja
251,f,40,160.6,62.2,6100,lehre,muslimisch,1,8,2,1270,7,0,5,77,4,45,nein,ja
252,m,51,175.6,103.6,NA,sek III,NA,1,5,4,NA,68,0,2,65,4,19,nein,ja
253,m,59,195.3,NA,10100,sek II,evangelisch-reformiert,0,6,7,1040,20,4,4,68,3,108,nein,ja
254,f,29,161.8,58.2,4900,lehre,NA,0,7,7,530,33,0,1,97,4,71,nein,ja
255,f,71,170,64.7,11000,lehre,katholisch,1,5,6,710,26,2,6,110,5,61,nein,ja
256,f,84,169,69.1,13200,sek III,NA,0,6,4,1900,28,0,2,80,4,22,nein,ja
257,f,42,157.3,76.5,6500,lehre,katholisch,4,8,3,740,14,0,4,101,4,53,nein,nein
258,m,40,179.1,70,6300,sek III,konfessionslos,3,6,5,440,42,8,7,112,4,53,nein,nein
