gender,year_created,hour_created,tweet_count,retweet_count,user_timezone,name_nchar,name_male,name_female,descr_nchar,descr_male,descr_female,descr_sent,tweet_nchar,tweet_male,tweet_female,tweet_sent,linkcol_red,linkcol_green,linkcol_blue,sidecol_red,sidecol_green,sidecol_blue
female,2009,16,18202,0,-5,13,0,0,43,0,0,2,89,1,0,3,0,0,0,189,220,173
male,2012,12,19514,0,-4,12,1,0,18,0,0,0,84,0,0,3,85,76,87,255,255,255
female,2009,15,51830,1,-5,7,0,0,59,0,0,0.6666666666666666,134,0,0,3,80,80,80,0,0,0
male,2009,20,17227,0,0,9,0,0,160,1,0,2,89,0,0,-1,255,0,0,255,255,255
male,2009,14,2331,0,-5,9,0,0,130,0,0,1.5,111,0,0,1.5,59,148,217,0,0,0
male,2012,4,48828,0,-6,13,0,0,13,0,0,0,64,0,0,2,0,0,0,255,255,255
male,2013,1,22,0,-8,12,0,0,24,0,0,0,112,0,0,2.5,48,48,48,0,0,0
female,2012,9,450,0,-8,13,0,1,157,0,0,2.5,108,1,0,2.5,0,0,0,192,222,237
female,2014,4,2849,0,-5,15,0,0,33,0,0,0,71,0,0,0,203,203,251,0,0,0
female,2012,20,11253,0,8,11,0,0,67,0,0,-1,150,0,0,-0.2,176,195,187,255,241,232
male,2011,13,19392,6,0,15,0,0,98,0,0,3,137,1,0,2,59,148,217,255,255,255
male,2013,21,62502,0,-3,9,0,0,85,0,0,-2,126,0,0,2,255,0,0,255,255,255
male,2010,13,188235,1,-5,12,1,0,28,0,0,0,44,0,0,0,153,153,0,238,238,238
female,2012,19,15500,0,-4,11,0,1,75,0,0,0,74,0,0,-2,255,0,0,101,176,218
male,2014,17,42162,0,-5,11,0,0,26,0,0,3,36,0,0,0,146,102,204,0,0,0
male,2011,7,2967,0,-7,8,1,0,113,0,0,-0.6666666666666666,132,0,1,2,84,194,137,255,255,255
male,2009,9,99491,0,1,7,0,0,148,0,0,0,140,0,0,2,0,0,0,0,0,0
male,2009,11,8378,0,-8,14,0,0,151,0,0,2,137,0,0,-3,59,148,217,0,0,0
female,2007,19,28722,0,-8,10,0,0,159,0,0,0.5,113,1,0,-1,51,51,153,230,230,230
male,2009,7,11301,0,-5,14,1,0,155,1,0,0,104,1,0,4,0,0,0,0,0,0
male,2009,20,290125,0,-5,8,0,0,126,1,0,0,85,0,0,0,146,102,204,0,0,0
female,2009,9,188450,0,0,6,0,0,158,0,0,0,43,0,1,0,114,20,168,255,255,255
female,2011,6,4201,0,-5,9,0,0,124,0,0,2,123,0,0,0,214,170,176,255,106,0
female,2011,15,25797,0,1,13,0,0,82,0,0,0,40,0,1,1.5,55,7,7,255,255,255
female,2008,7,35841,0,0,7,0,0,50,0,0,-3,131,0,0,2,67,144,168,255,255,255
female,2012,10,1118,0,-5,10,0,0,62,0,0,0,118,1,1,3,0,0,0,192,222,237
female,2015,10,8172,0,-8,14,0,0,80,1,0,0,134,1,0,2,146,102,204,0,0,0
female,2012,15,9490,0,-6,8,0,0,111,0,1,-0.5,73,0,0,-3,56,39,39,255,255,255
female,2012,11,29997,0,0,15,0,0,159,1,0,-3,91,0,0,0,59,148,217,192,222,237
male,2008,8,6067,0,-5,6,0,0,151,0,0,1,138,1,1,-1,0,0,0,192,222,237
female,2013,22,5774,0,-7,14,0,0,160,0,0,0,26,0,0,0,0,0,0,192,222,237
female,2014,11,7652,0,2,15,0,0,53,1,0,0,139,1,0,0.75,95,80,156,255,255,255
male,2014,10,12113,0,-8,11,1,0,132,0,0,0,77,1,0,0,221,46,68,0,0,0
male,2012,18,21181,7,0,10,1,0,42,0,0,3,64,0,0,-2.5,0,0,0,255,255,255
male,2013,10,2277,0,0,10,1,0,56,0,0,3,99,0,0,2,59,148,217,0,0,0
female,2009,10,22217,0,0,11,0,0,81,0,0,0,72,0,0,0,0,0,0,192,222,237
female,2011,14,15242,0,-7,8,0,0,9,0,0,0,133,0,0,3,0,0,0,255,255,255
male,2009,9,8151,0,-8,11,1,0,150,0,0,-2,89,1,1,2,153,153,0,255,255,255
male,2010,15,18159,0,1,12,1,0,23,0,0,-1,140,0,0,0.5,0,0,0,255,255,255
male,2011,22,132118,1,-7,10,0,0,21,0,0,1,73,0,0,3,148,145,148,0,0,0
female,2013,6,36485,0,-7,9,0,0,145,0,1,0,127,0,0,-2.5,250,116,62,0,0,0
male,2008,10,151733,0,-6,13,1,0,29,0,0,1,86,0,0,1.6666666666666667,153,153,0,238,238,238
male,2013,18,7672,0,-4,11,0,0,93,0,0,0.5,113,0,0,0,0,0,0,192,222,237
female,2009,14,3538,0,-6,11,0,0,61,0,0,2,94,1,0,2,182,162,27,0,0,0
male,2013,21,1664,0,-5,15,0,0,12,0,0,0,119,0,0,0,0,0,0,192,222,237
male,2010,19,50827,0,-1,9,0,0,45,1,1,0,103,0,0,-2,56,84,48,238,238,238
male,2011,12,23467,0,-5,11,1,0,19,0,0,0,80,0,0,0.5,0,0,0,192,222,237
male,2012,10,2400,0,1,10,0,0,145,0,0,0,102,0,0,0,0,0,0,0,0,0
male,2011,8,1046,0,-5,8,0,0,32,0,1,-2,128,1,0,2,0,0,0,192,222,237
male,2014,1,175999,0,-8,11,0,0,58,1,0,0,131,1,0,0,0,0,0,192,222,237
female,2011,8,11968,0,-5,9,0,0,10,0,0,0,73,0,0,-1,0,0,0,0,0,0
female,2015,6,3711,0,-8,7,0,0,112,0,0,2,73,0,0,0,221,46,68,0,0,0
female,2014,18,292,0,-4,13,0,0,106,0,0,0,136,0,0,3.5,250,152,103,0,0,0
female,2012,9,26899,0,1,9,0,0,43,0,0,1.5,30,0,0,0,255,0,0,255,255,255
male,2012,18,8629,0,-6,9,0,0,136,0,0,0,135,0,0,2,59,148,217,255,255,255
male,2009,2,23652,0,-8,13,0,0,37,0,0,1,96,0,0,-2,171,184,194,0,0,0
female,2009,20,72566,0,-6,6,0,0,137,0,0,3,84,0,0,-1,78,13,140,255,255,255
female,2009,3,7169,0,-5,11,0,0,21,0,0,0,135,0,1,0,255,0,0,255,255,255
female,2011,12,13803,0,-5,7,0,0,84,0,0,0,96,0,0,1.5,47,194,239,0,0,0
female,2009,10,61818,0,-8,13,0,0,40,1,0,0,60,0,0,2,0,0,0,222,62,158
male,2009,1,18880,1,0,10,0,0,23,0,0,0,136,0,0,3,0,0,0,192,222,237
female,2012,16,1158,0,0,10,0,0,54,0,0,-0.3333333333333333,97,0,0,-1,0,0,0,192,222,237
female,2011,19,11599,0,-5,14,0,0,129,0,0,2,104,0,0,2.5,56,84,48,238,238,238
female,2009,6,71422,0,-5,15,0,0,107,0,0,-1,120,0,0,-3,139,146,148,247,242,244
male,2009,18,3399,0,-5,8,1,1,137,0,0,0,97,0,0,2,182,182,185,0,0,0
male,2013,6,13171,0,1,11,0,0,26,0,0,0,132,1,0,1,137,201,250,255,255,255
male,2010,15,463843,0,-4,11,0,0,31,0,0,0,137,0,0,2,0,0,0,192,222,237
female,2012,14,34477,0,-4,14,0,0,118,0,0,0,100,0,0,0,255,0,0,0,0,0
male,2009,18,199740,0,-5,9,0,0,63,0,0,-1,76,0,0,-3.5,0,0,0,189,220,173
female,2015,12,44604,0,-8,11,0,0,23,0,0,0,53,0,0,2,233,121,231,0,0,0
female,2012,17,6332,0,-8,11,0,0,9,0,0,0,33,0,0,1,245,171,181,255,255,255
male,2010,21,18808,0,-6,15,0,0,98,0,0,0,119,0,0,0,209,11,11,184,99,7
male,2009,11,5174,0,-5,11,0,0,139,1,0,0,136,1,0,3,47,194,239,0,0,0
male,2012,9,4359,0,-7,6,0,0,158,0,0,2,83,0,0,-3,255,3,3,192,222,237
female,2009,16,14089,0,-8,11,0,0,58,0,0,0,93,0,0,1.5,252,119,119,0,0,0
male,2014,19,5591,0,-4,13,0,0,30,0,0,0,55,0,0,0,41,62,219,0,0,0
female,2013,8,5080,0,-4,14,1,1,114,0,0,1,120,0,0,0,171,184,194,0,0,0
female,2010,9,219763,0,-5,13,0,0,151,1,1,2.3333333333333335,100,0,1,0,180,11,67,0,0,0
male,2013,16,12432,0,-5,11,0,0,56,1,0,-1.3333333333333333,33,0,0,0,221,46,68,0,0,0
female,2015,20,6112,0,-8,13,0,0,151,1,0,0,136,1,0,-2,255,0,51,0,0,0
male,2014,17,71087,0,-5,10,0,0,20,0,0,0,80,0,0,-0.5,0,0,0,192,222,237
male,2010,14,10709,2,0,13,1,0,77,1,0,0,123,0,0,-3,0,0,0,192,222,237
female,2011,16,103696,0,-5,15,0,0,122,1,0,-1,44,0,0,0,204,51,102,255,255,255
female,2009,20,42408,0,-8,10,0,0,60,0,0,-5,133,0,0,0,0,0,0,255,255,255
female,2015,2,30,0,-8,10,0,0,61,0,0,0,67,1,0,0.5,0,0,0,0,0,0
male,2009,9,19168,0,-8,10,0,0,79,0,0,0,144,1,0,2,171,184,194,0,0,0
female,2011,16,64474,0,-5,11,0,0,34,0,0,0.6666666666666666,135,0,0,0,0,0,0,0,0,0
male,2015,15,1032,0,-5,10,1,0,19,1,0,0,91,1,0,0,59,148,217,0,0,0
male,2010,11,18138,0,0,5,0,0,40,0,0,-5,138,0,0,0.5,0,0,0,192,222,237
female,2011,20,14179,0,-6,11,0,0,22,0,1,0,74,0,0,0,71,52,37,255,255,255
male,2011,0,7500,0,0,9,1,0,122,0,1,2.5,136,0,0,2.5,0,0,0,255,255,255
male,2006,16,103166,0,-5,9,0,0,116,0,0,0,102,1,0,-3,127,127,144,255,255,255
female,2011,9,2848,0,-6,9,0,0,119,1,0,2,110,1,0,1,137,201,250,0,0,0
male,2010,17,26618,1,-5,11,0,0,82,0,0,2.25,83,0,0,-2,204,51,102,219,233,237
female,2011,10,54893,0,-6,14,0,1,20,1,1,0,40,0,0,0,222,37,200,81,0,148
female,2012,5,7063,0,-4,11,0,0,8,0,0,0,82,1,0,3,255,0,247,255,255,255
female,2011,16,27411,0,-10,12,0,0,11,0,0,0,39,0,0,0,250,116,62,255,255,255
male,2013,11,5705,0,-5,9,0,0,157,1,1,1,127,0,0,-2,204,51,102,192,222,237
male,2013,0,1839,0,1,9,0,0,31,0,0,0,46,0,0,-4,0,0,0,192,222,237
female,2014,15,26357,0,-8,9,0,0,33,0,0,-2,130,1,0,1,148,212,135,0,0,0
male,2015,1,620,0,-8,11,0,0,127,1,0,-2,80,0,0,0,0,0,0,192,222,237
female,2014,13,3535,0,-5,9,0,0,55,1,0,0,106,0,0,-2,171,184,194,255,255,255
female,2012,18,55599,0,-3,7,0,0,41,1,0,0,99,0,0,1,255,204,77,255,255,255
male,2009,23,8087,0,-6,15,0,0,146,0,0,0,36,0,0,3,255,0,0,255,255,255
male,2008,20,2706,0,-5,14,0,0,29,0,0,0,133,0,0,3,0,0,0,255,255,255
female,2011,7,613,0,-9,14,1,1,25,1,0,4,108,0,0,0,0,0,0,168,199,247
female,2009,2,6247,0,0,13,0,0,136,1,1,2.6,75,0,0,3,57,127,127,255,255,255
male,2012,19,6625,0,-5,11,0,0,137,0,0,0,91,0,0,2,0,0,0,255,255,255
female,2013,9,57897,0,0,13,0,0,159,1,1,0,139,0,1,2,0,0,0,94,212,220
female,2011,12,5760,0,-6,12,0,1,82,1,0,1,32,1,1,0,0,0,0,192,222,237
male,2014,12,1623,0,1,10,0,1,86,1,1,3,62,0,0,0,0,0,0,192,222,237
female,2014,6,3976,0,-5,15,0,0,100,1,0,1.5,127,0,1,3,148,212,135,0,0,0
male,2010,20,16920,0,3,12,1,0,20,0,0,0,68,0,0,0,47,194,239,0,0,0
female,2015,14,21,0,-8,13,0,0,55,0,0,0,116,0,0,0.5,74,145,60,0,0,0
female,2008,19,28352,0,-5,6,0,0,61,0,0,2,123,1,0,-2.6666666666666665,0,0,0,168,199,247
male,2011,14,57654,0,0,13,1,1,160,1,1,0,135,1,1,1,153,153,0,255,255,255
female,2009,18,9785,0,-7,14,0,0,49,1,0,0,35,0,0,-4,255,0,0,101,176,218
male,2009,18,11486,0,-5,15,1,0,157,1,0,0,61,0,0,0,0,0,0,255,255,255
male,2010,5,859,0,-5,13,0,0,130,0,1,0,136,1,1,0,0,0,0,192,222,237
female,2012,8,9372,0,-4,10,0,0,61,0,1,-0.3333333333333333,92,1,1,-1,0,0,0,192,222,237
female,2015,14,18336,0,-8,13,0,1,116,0,1,0,126,0,0,0,146,102,204,0,0,0
female,2011,16,4075,0,-8,7,0,1,23,0,0,3,52,1,0,-3,0,0,0,94,212,220
male,2013,12,22271,1,0,13,0,0,44,1,0,0,93,0,0,0.5,250,116,62,255,255,255
female,2014,17,1057,0,-6,7,0,0,71,1,0,1.6666666666666667,114,0,0,-1,0,0,0,192,222,237
male,2012,19,55821,0,-4,15,0,0,85,1,1,2,80,0,0,2.5,204,51,102,0,0,0
male,2010,10,14060,0,0,8,0,0,158,0,0,2,118,0,1,3,59,148,217,0,0,0
female,2015,13,41193,0,-6,7,0,0,135,0,0,-1,110,0,0,0,0,0,0,192,222,237
male,2011,5,1644,0,0,14,1,0,50,0,0,0,110,1,1,1,59,148,217,255,255,255
male,2011,18,21082,0,-6,10,1,1,89,0,0,0,55,1,0,0,221,46,68,0,0,0
male,2008,14,20570,0,-5,6,0,0,129,1,1,0,130,1,0,0,250,116,62,0,0,0
male,2013,15,8872,0,-6,15,0,0,159,0,1,2,118,0,0,0.6666666666666666,0,0,0,192,222,237
female,2010,19,2640,0,-6,13,1,1,8,0,0,0,118,0,0,-2,0,0,0,192,222,237
male,2009,15,204308,0,-8,11,0,0,45,0,0,1.5,129,0,0,-2.3333333333333335,238,165,37,238,165,37
male,2011,13,29084,0,1,14,0,0,90,1,0,0,127,0,0,-2,0,0,0,192,222,237
