BALANCE,BALANCE_FREQUENCY,PURCHASES,CREDIT_LIMIT,ONEOFF_PURCHASES,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
3971.138765,1,0,4000,0,1600.212243,0,11
5493.90406,1,229,6000,0,1895.02617,0,12
1879.114033,0.727273,113,6500,113,548.105836,0,12
1555.793701,1,66.2,1600,66.2,837.215674,0,12
809.582978,0.909091,0,4150,0,241.645387,0.090909,11
1923.886805,1,1887.64,1850,0,3266.996777,0.083333,12
1758.059987,1,412.33,1800,325.21,897.905444,0,12
809.847455,0.875,0,1500,0,179.412493,0,8
1576.305029,1,0,2500,0,352.883804,0,12
3990.523579,1,263.5,6000,190.6,1001.607366,0.083333,12
1699.435486,1,1363.69,1700,1363.69,923.505868,0,12
5487.683724,1,419.1,6250,0,2180.881868,0,12
2990.422186,0.909091,4523.27,7000,1664.09,1107.030803,0.454545,12
656.01301,1,0,7000,0,140.983193,0.25,8
1808.972419,1,713.9,2250,503.08,622.757696,0,10
532.334517,0.909091,791.94,6000,516.64,175.510344,0,11
5860.433624,1,561.87,6000,249.5,2161.428274,0,12
1727.638449,1,606.11,11000,606.11,623.65699300000006,0,12
578.809679,1,320,1500,0,190.186542,0,12
1205.716678,1,0,1200,0,8242.687678,0,12
6593.820644,1,388.66,7000,388.66,2503.40234,0,12
17.357563,0.909091,244.85,5000,40.21,121.523416,0.181818,12
81.584711,0.272727,0,9500,0,164.692136,0,12
3.78631,0.636364,133.05,12000,28.2,99.533735,0.444444,12
42.46443,0.545455,396,1200,0,140.809454,1,12
1935.362486,1,4915.6,9000,4515.34,594.756686,0,12
134.917202,1,1247.8,16500,1247.8,171.357189,1,12
7069.950386,1,1603.78,11000,1445.14,1876.262988,0,12
8181.251131,1,2258.01,13500,1318.78,2074.581541,0,12
4037.305658,1,45,4500,45,968.941265,0,12
6110.265264,1,0,6500,0,2864.380327,0,12
9381.255094,1,5100.07,9000,1147.83,9827.045323,0,12
1977.00709,1,1032.04,4000,226.9,910.707525,0.090909,11
1321.47608,1,45.65,1800,45.65,312.560636,0,12
1139.782882,1,0,1200,0,2906.110765,0,12
1619.955708,1,739.44,6000,739.44,389.138517,0,12
4.708041,0.363636,79,7000,0,121.781205,1,12
4.875885,0.666667,20,1500,20,60.913577,0,9
23.394411,0.272727,1346.28,2000,0,54.79166,0,12
3539.801912,1,2823.8,5700,1540.41,2103.796148,0.083333,12
862.07238,1,0,4000,0,214.828158,0.083333,12
2441.542991,1,808,4000,808,1026.976,0,12
408.656365,1,941.64,2500,0,176.610605,0.083333,12
4986.400804,1,0,8000,0,1439.230899,0,12
1246.624558,1,423.7,2000,177.64,498.365419,0,12
6644.201651,1,4478.75,9000,2721.59,2469.5713260000002,0.083333,12
156.216753,0.818182,1354.86,5500,585.63,108.319927,0,12
5322.994094,1,2812.2,8500,857.12,1834.031569,0,12
6458.56209,1,0,7000,0,2760.115734,0,12
175.341651,0.818182,1508.9,5000,1252.36,136.639824,1,12
680.195157,1,1045.57,3000,667.95,207.720441,0,12
223.763616,0.636364,2309.78,6500,0,99.372848,0.333333,12
1785.626943,1,0,1800,0,2439.136113,0,12
54.933231,0.272727,495,7000,0,147.049952,1,12
2662.629852,1,0,3000,0,709.207016,0,12
8504.876253,1,6724.26,17000,4100.08,2167.446204,0,12
2114.158683,1,5580.85,8500,0,630.00413,0,12
2876.396444,1,0,3200,0,1412.648089,0,12
14224.11541,1,0,19000,0,3406.258999,0,12
2392.917738,1,12462.44,2800,12462.44,2000.990921,0,12
57.453201,0.75,0,1200,0,84.697292,0.166667,8
4245.855092,1,1957.3,5000,1077.3,1086.428906,0,12
11167.23403,1,150.64,17000,150.64,2894.077159,0,12
4637.848144,1,1271.12,5000,351.54,3572.279251,0,12
24.28497,0.636364,250.6,3000,0,173.632006,0,12
9354.06045,1,796.33,13000,796.33,2600.875721,0.083333,12
231.108995,1,440,4000,0,185.091037,0,12
1562.633343,1,1330.62,2000,1169.63,709.610053,0,12
2494.868559,1,5491.79,17000,1390.5,615.92402,0,12
706.132889,1,897.86,1200,714.52,184.524376,0,12
19043.13856,1,22009.92,18000,9449.07,18621.01331,0,12
2235.103331,1,720.6,2500,720.6,689.118919,0,12
947.13081,1,197.06,1000,148.66,509.384182,0,12
764.042156,0.818182,0,7500,0,172.959728,0,12
10598.46777,1,2084.48,21500,1300.48,3068.125648,0,12
2163.678757,1,5779.36,6500,3436.53,546.439139,0,12
3057.400553,1,1025,7500,1025,819.682666,0,12
264.811595,1,28.65,9000,28.65,194.324456,0.083333,12
1108.22253,0.909091,944.96,1500,164.96,992.652486,0,12
906.573724,1,1039.2,13500,80,468.196732,0.083333,12
7679.62904,1,4059.93,7000,0,12854.9397,0,12
1523.911458,1,4075.37,6500,3322.28,329.29648,0,12
49.206256,1,870.24,8000,0,193.011166,1,12
13673.07961,1,9792.23,20000,3959.81,6042.391629,0,12
106.455975,0.636364,2463.12,4000,789.53,95.342224,0.636364,12
119.760904,0.363636,1859.34,20000,0,288.903628,0.25,12
1734.510004,1,0,1800,0,2827.997525,0,12
2765.748281,1,7283.31,11000,5087.31,1058.128452,0.25,12
1046.37041,1,295,1200,295,362.838185,0,12
2737.367678,1,0,3000,0,721.798576,0,12
4014.818167,1,0,8500,0,1177.149934,0,12
871.568977,1,648.22,1200,115,208.298424,0,12
1610.040203,1,557.19,4000,525.64,616.005839,0,12
114.593817,1,469.98,1000,0,86.102479,0.5,6
5800.587339,1,0,6500,0,1972.526015,0,12
823.103926,0.363636,131.64,8000,0,243.199498,0,12
595.677343,1,5078.14,15000,4330.53,241.894073,0.916667,12
1128.124563,1,924.6,1000,0,1747.037345,0,12
349.441102,1,1975.4,4000,1393.5,167.219681,0,12
840.804076,0.666667,0,4000,0,193.171404,0,9
975.942008,1,10221.35,10500,7141.38,347.641073,0.75,12
23.111088,0.363636,300,12500,0,43.452683,0.181818,12
2187.732265,0.857143,0,3000,0,461.365626,0.2,7
11972.01104,1,5715,14000,4685.54,3192.306018,0,12
1608.451822,1,0,1800,0,408.799147,0,12
2933.240476,1,0,3000,0,1739.74883,0,12
336.799916,1,3535.8,20000,1614.7,186.230835,1,12
36.236312,0.454545,256.11,5300,0,189.036967,0.166667,12
903.29781,1,2697.48,2500,150.5,303.361632,0,12
2881.253586,1,117,4500,0,931.618475,0.166667,12
117.442684,1,653.73,10000,493,136.827952,0,12
168.522709,0.818182,2009.05,1200,0,197.638558,0.142857,12
1706.014379,1,147.78,6000,0,374.595505,0,12
874.583247,1,516.54,900,159.07,693.894717,0,12
966.251742,1,311.45,1500,311.45,286.299328,0,12
38.615644,0.727273,280.4,6150,280.4,55.79974,0.090909,12
40.417255,0.363636,79.2,4000,79.2,24.815878,0.083333,12
5462.897068,1,1453.32,16500,0,1755.253802,0,12
3983.923705,1,756.54,4000,756.54,1431.201171,0,12
5588.846272,1,3507.35,11500,603.75,1825.176503,0,12
281.170378,0.818182,3163.69,8000,56.8,187.04628400000001,0.888889,12
130.251538,0.909091,1343.19,15000,1082.79,182.429461,0.545455,12
1973.814964,1,873,8000,873,762.682834,0,12
5698.539876,1,47.55,6000,0,3463.174962,0,12
43.103899,0.454545,370,23000,370,68.725483,0,12
566.546048,0.909091,405.75,2000,313.75,313.052687,0,12
24.527253,0.909091,261.64,4000,0,169.78292,0.818182,12
8350.145568,1,1989.28,14000,842.8,2557.044576,0,12
4559.779234,1,10848.5,7500,8208,2925.275522,0,12
2.67713,0.090909,43.39,4000,0,29.700051,0.090909,12
1570.682346,1,645.32,1800,645.32,808.217224,0,12
7201.736985,1,987.1,10500,862.1,2391.987571,0,12
6467.885013,1,1464.14,11500,978.71,1887.413517,0,12
64.080909,0.454545,927,5000,600,59.04439,0.222222,12
5635.860679,1,393.62,10000,153.72,1731.549385,0,12
3670.50596,1,965.5,7500,876.13,941.496383,0,12
2458.376257,0.818182,0,7500,0,647.20869,0,12
768.004936,1,336.41,6000,336.41,217.027653,0,12
75.647479,0.727273,540,4000,0,48.659935,0,12
1121.730896,1,878.52,1500,103.1,471.496776,0,12
7.56809,0.545455,144.26,11500,67.08,75.515008,0.111111,12
2053.441598,1,493.85,2000,441.35,2661.324808,0,12
2422.311938,1,4490.69,8500,3456.25,582.58976500000006,0,12
9047.621884,1,11188.62,10000,6099.16,8517.258683,0,12
3061.213971,1,1829.2,7000,1792.7,985.954762,0,12
41.642389,0.857143,75.99,2700,75.99,99.401747,0,7
5431.622968,1,1824.16,14500,1598.56,1370.519926,0,12
6571.484039,1,9325.22,8500,9325.22,1824.680131,0,12
28.461629,1,100,4000,100,104.857518,0,12
4178.625215,1,1431.89,4000,430.69,3868.70983,0,12
3019.019487,1,2260.41,8500,1356.33,739.224894,0,12
1.045584,0.333333,0,1200,0,25.537,0.5,9
2723.369217,0.909091,10410.49,19500,1158.84,726.696049,0.363636,12
1070.999446,1,990.7,1400,482,438.324017,0,12
279.608696,1,3034.92,2900,0,2733.317012,0.083333,12
1255.901821,1,1038.81,5700,1038.81,422.331098,0,12
2229.857287,1,45.65,2500,45.65,628.211031,0,12
2363.489077,1,2641.98,3000,1386.3,1075.456585,0,12
7623.224897,1,300,12000,0,1774.584333,0,12
3421.571922,1,126.69,10500,42.88,975.504012,0,12
48.898611,0.545455,247.09,5500,0,69.921472,0,12
1874.716289,1,301.1,1950,83,1089.040271,0,12
237.235398,0.636364,2410.07,4000,1670.5,169.879335,1,12
1272.927288,1,5350.19,8000,4783.34,318.305326,0.166667,12
558.476701,1,630.03,5500,630.03,213.369694,0,11
2814.207626,1,3197.24,3000,2080.02,1328.897516,0,12
8.061012,0.363636,133,3000,0,41.436595,0.181818,12
435.862142,1,1646.16,12000,1023.42,236.619362,0,12
6.390383,1,79.66,1500,0,75.967742,0,12
9612.21512,1,319.92,12000,0,2501.560923,0,12
7938.559134,1,3677.52,12500,3543.73,1912.298544,0,12
2344.478291,1,1041.63,4000,1041.63,716.70488,0,12
996.48222,1,675.96,1000,0,1382.292833,0.083333,12
19.508047,1,193.14,2000,0,71.965063,0.25,12
185.640313,1,1703.23,11500,1703.23,183.298253,1,12
5335.302925,1,0,6000,0,1249.937085,0,12
22.189283,0.363636,234.16,1500,0,149.977816,0.5,11
5.871769,0.818182,29.68,10000,29.68,75.595199,0,12
1049.496471,1,1322.67,11000,1096.71,229.655091,0,12
5570.190127,1,1607.88,13500,0,2216.638394,0,12
1668.591831,1,0,1800,0,568.063083,0.083333,12
2224.590946,0.818182,3183,9000,3183,629.080506,0,12
2903.781184,1,3014.23,4500,1340.34,655.633916,0,12
2041.480046,1,7323.38,3000,4944.88,1737.893866,0.083333,12
7755.698607,1,8533.54,10000,4072.76,7256.951816,0,6
614.263149,0.727273,408.93,9000,74.8,312.343947,0,12
8097.334733,1,3999.92,7500,200,9952.672511,0,12
1082.33027,1,2980.46,6000,657.78,289.439818,0,12
2734.66412,1,560.73,7500,560.73,670.049653,0,12
80.708806,1,569.9,9500,569.9,92.012927,0.083333,12
2554.525229,1,6186.77,10950,6099.08,608.36886,0.083333,12
535.947221,1,4550.81,8500,3016.98,208.73456,0.916667,12
3905.365959,1,150.8,7500,150.8,989.783286,0,12
156.278339,1,1385.1,14000,1005.1,193.369942,0.833333,12
5131.319584,1,32539.78,11500,26547.43,1971.129435,0.083333,12
5265.763713,1,410.24,16500,44.71,1055.547896,0.083333,12
2.564117,0.181818,47.95,1500,47.95,86.245988,0,12
1873.084577,1,126.57,2100,126.57,524.426392,0,12
1473.495809,1,414,10500,0,570.250342,0.5,12
1504.82705,1,2010,8500,630,479.831475,0,12
7645.108427,1,4693.15,13500,4332.65,1741.158024,0,12
1129.33758,1,498.96,1000,0,1623.389428,0,12
668.956687,1,224.2,9500,148.12,272.270427,0,12
2302.184366,1,2856.57,2500,922.84,2173.680619,0,12
272.711518,0.818182,0,3000,0,144.621645,0.181818,12
4246.430225,1,0,7000,0,1793.262654,0.083333,12
2420.761135,1,0,3000,0,609.206784,0,12
2935.324966,1,409.63,5000,351.87,1114.588285,0,12
83.148283,0.636364,843.34,6500,843.34,122.850835,0.5,12
5469.851311,1,0,6000,0,2019.027883,0,12
280.142117,1,2236.49,10000,758.52,233.614975,1,12
5790.930626,1,464.51,6000,399.41,2092.915898,0,12
3605.714046,1,1779,5000,1779,761.012234,0,12
3992.261885,1,0,4000,0,1229.820066,0,12
41.833264,1,456.36,6000,0,163.287618,0.333333,12
635.090434,0.818182,5758.71,2900,2252.37,197.416104,1,12
1521.1681,1,245.98,6000,245.98,388.258009,0,12
5547.092593,1,0,12000,0,1351.998523,0,12
2503.107213,1,733.9,3000,733.9,857.535876,0,12
191.450711,1,1641.07,500,1641.07,137.046292,0.636364,12
3621.70204,1,674.73,4000,674.73,1403.477006,0,12
2762.479434,1,2702.47,11000,1526.31,1013.086448,0.083333,12
4338.606862,1,0,8000,0,964.118618,0,12
388.873921,0.727273,1579.15,2700,1462.35,199.955286,0,12
9261.310686,1,0,11000,0,2576.552758,0,12
208.131845,1,2161.38,4500,451.5,165.05215,1,12
169.088238,1,1482.19,6000,446.07,173.686552,0.666667,12
133.911556,1,1446.05,3500,544.45,186.240772,0.833333,12
1613.34907,0.909091,0,4500,0,648.139459,0,11
53.208422,1,498.17,15000,459.02,162.94308,0.909091,12
1329.967543,1,2009.12,2500,1296.68,956.330023,0,12
927.041961,1,0,1000,0,339.553093,0,12
1872.767651,1,0,5500,0,627.015802,0,12
185.396312,1,0,1000,0,137.6915,0,11
4823.822993,0.857143,0,7000,0,1148.631716,0,7
994.105777,1,126.2,1950,126.2,417.290247,0,12
40.089221,1,225,1500,0,286.122587,0.166667,12
4732.37354,1,14.95,5700,0,1172.289863,0,12
9206.811696,1,874.98,12500,350,2199.077716,0,12
6719.376505,1,0,7500,0,2488.976669,0,12
2233.074041,1,445.2,8000,445.2,579.587654,0,12
1867.649838,1,0,4500,0,401.970276,0,12
57.842746,1,689.34,1500,0,148.28357,0.333333,12
4194.033835,0.727273,2006.87,21000,420.6,1479.309409,0.1,12
2459.862339,1,678,2500,678,1933.173023,0,12
850.630114,1,0.05,1000,0.05,367.409536,0,12
353.198215,1,3085.69,8500,3032.97,192.66679,1,12
2669.160638,1,0,3000,0,1122.076137,0,12
92.440743,0.909091,1080,6000,1080,169.005281,1,12
706.675991,1,2721.16,6500,2417.41,280.821958,0.083333,12
361.319366,1,3095.96,14000,1383.56,197.186568,0.583333,12
2324.086254,0.909091,0,2300,0,2077.873573,0,11
2922.487907,1,71.07,9500,0,797.250949,0,12
98.364739,0.181818,65,1200,0,53.655347,0,12
498.208616,1,4786.61,9000,4397.64,163.459999,1,12
16.93339,0.454545,174.42,2500,0,149.301101,0.75,12
3355.631092,1,242.88,13500,0,890.639118,0.090909,12
907.982017,1,216.94,3200,216.94,300.210049,0,12
1132.386178,0.454545,2246.3,6000,2246.3,406.790252,0.8,12
1254.6691,1,361.73,1500,361.73,432.68808,0,12
80.336636,0.6,330,1800,330,85.297166,0,10
260.838885,1,2854.11,9500,1797.96,176.283228,1,12
17.356961,0.454545,390,2000,90,74.667401,0,12
1897.672025,1,422.18,5500,422.18,440.30634,0,12
1032.241153,1,1005.52,3000,464.5,237.328382,0,12
3536.601227,1,2132.93,11000,959.1,834.025674,0,12
21.580264,0.909091,284.72,5000,0,155.792859,0.8,12
4211.539631,1,0,10500,0,1164.178674,0,12
1732.715258,1,3244.16,11500,2480.85,563.827502,0,12
8939.461145,1,2490.17,9500,905.17,4951.58548,0,12
41.754778,0.181818,636.15,8500,636.15,57.150516,0.181818,12
1937.246177,1,3018.93,5000,1702.62,444.12429,0.166667,12
99.955082,1,1222.97,19500,202.97,185.657751,1,12
5135.604593,1,110.18,6000,0,2463.472147,0,12
214.896542,0.636364,0,3000,0,214.263752,0.2,12
1543.287931,1,0,1800,0,529.340488,0,12
601.92037,1,983.77,2400,603.77,219.465695,0,12
1261.05733,1,0,1500,0,354.381003,0,12
85.285023,0.75,423.24,11000,287,134.448872,0,8
1903.688611,1,6079.5,7300,4719.5,762.263884,0.416667,12
813.068705,1,439.38,1200,439.38,265.708814,0,12
1279.325142,1,1207.25,1200,0,1300.596775,0,12
237.669312,1,259.13,2300,259.13,2503.3745950000002,0.25,12
5747.761139,1,1627.69,5500,0,7490.453967,0,12
7760.940543,1,0,8000,0,2459.741299,0,12
6388.108487,1,0,8000,0,2384.817152,0.083333,12
426.372628,1,5749.96,12000,5439.96,202.73209,0.833333,12
8806.866629,1,1490.94,9000,0.02,3598.719728,0,12
1128.229387,1,5068.88,4500,3529.88,373.931063,0.083333,12
2045.541408,1,1067.28,2000,0,3073.416298,0,12
8.520292,0.545455,64.12,7000,64.12,76.462301,0,12
11278.95243,1,6855.59,18500,2762.92,2861.890896,0,12
143.443832,0.636364,1631,2500,0,157.269321,1,12
241.223955,0.909091,180.91,1400,180.91,220.455533,0,12
1528.571561,1,0,1600,0,559.030296,0,12
12474.72954,1,136.88,14000,0,3430.627754,0,12
566.147105,1,0,2000,0,190.365154,0,12
1077.606225,0.727273,343.21,1500,343.21,3245.693485,0,12
1.838084,0.272727,16.5,6000,16.5,67.1925,0,12
507.144348,1,5708.18,4000,4584.78,232.131169,1,12
816.82453,0.3,42.3,6000,42.3,645.320421,0,10
1526.506915,1,46.67,1800,46.67,642.547142,0,12
7957.017218,1,0,9000,0,27631.45072,0,12
79.189929,1,699.12,2500,0,183.858351,0.583333,12
497.908027,1,245.39,4000,0,165.308304,0,12
681.95925,1,98,4000,98,221.375942,0,12
1535.248256,1,857.36,6550,857.36,411.871046,0.083333,12
1508.513765,0.818182,2747.12,5000,1247.12,481.558276,0.1,12
11209.37076,1,11147.33,11000,1137.4,17494.90735,0,12
201.3504,1,600,1000,0,184.776562,0,12
2502.264409,1,0,10000,0,724.956358,0,12
4543.789386,1,255.12,8500,5,1121.510137,0,12
918.342234,1,1221.53,1200,1180,106.039362,0.25,6
5066.744231,1,0,13000,0,1606.963379,0,12
2259.431829,1,780.64,3500,199.65,483.836254,0,12
437.789873,1,1532.1,5000,223,212.770698,0,12
2025.162877,1,778.33,2000,0,1430.50774,0,12
3770.560441,0.875,964.06,6000,260,1241.283569,0,8
140.730723,1,1667.13,13000,1063.14,208.701639,0.25,12
3298.692478,1,1088.83,9000,518.39,994.384835,0,12
1874.843394,1,0,2100,0,671.420908,0,12
3024.629054,1,0,4500,0,691.692633,0,12
154.641707,0.363636,1897.92,13500,97.92,248.700571,1,12
1322.057239,1,0,6200,0,291.307669,0,11
62.287137,1,1263.29,9500,279.99,179.894243,0.4,12
4664.023286,1,340,6000,340,2009.821743,0,12
318.03434,1,1277.58,7000,0,173.336309,0,12
681.615445,1,4117.24,6000,290,199.730537,0,12
9335.31417,1,226.23,15000,226.23,4980.192685,0,12
6404.955912,1,3970.8,7500,2267,1868.983718,0,12
133.405494,0.545455,1346.9,8000,1028,98.678839,0.333333,12
1403.597712,1,1050.83,5000,67.9,982.544984,0,12
469.878834,1,1364.99,2000,64.99,263.163209,0.2,12
1452.437463,1,0,1500,0,479.771774,0,12
6032.740391,1,7553.48,13500,2643.53,1365.123434,0,12
1692.755487,0.909091,570.16,9000,0,362.970189,0,12
3534.253718,1,566.28,4000,431.01,858.977427,0,12
654.574445,1,0,8000,0,269.178995,0,12
1648.721384,1,0,1800,0,631.106468,0,11
6822.877573,1,137.34,10000,137.34,1716.092764,0,12
8647.057641,1,0,10000,0,1886.223361,0,12
5055.582822,1,0,9000,0,1035.039239,0,11
4245.550244,1,332.82,5000,0,1284.011712,0,12
541.915572,0.636364,1377.72,2500,1377.72,200.759856,0,12
4855.340797,1,0,6000,0,1855.766226,0,12
981.643409,0.818182,0,1500,0,277.582819,0.125,12
7057.658848,1,360.7,8000,360.7,2610.053885,0,12
4264.307261,1,222.64,4500,0,1225.908506,0,12
4503.390811,1,1634.74,13000,1376,1194.234398,0,12
969.294446,1,0,1200,0,204.676682,0,12
4479.115547,1,759.15,6000,759.15,1384.111493,0,12
37.753941,0.363636,243.36,1800,243.36,134.985783,0.25,12
7386.704481,0.9,0,10500,0,1943.431564,0.1,10
1265.805627,0.818182,0,2500,0,373.893161,0,12
598.78776,1,519,4500,0,210.248259,0,11
3143.928913,1,3055.87,4500,3055.87,784.387878,0,12
5580.530306,1,2470.4,9500,457.73,3024.949485,0,12
576.635957,1,1671.6,1800,480,179.585842,0,12
51.818382,0.454545,903.36,15000,903.36,41.302445,0,12
1036.595935,1,0,1200,0,327.072615,0,12
21.12921,0.545455,229.5,3150,54,157.471831,0.714286,12
1534.969344,1,1476.19,2500,1476.19,382.989143,0,12
4994.04832,1,2506.89,8500,2506.89,1646.973276,0,12
4700.106602,1,2570,4500,492.46,5620.295192,0,12
9601.071318,1,238.34,15000,0,1206.257247,0,6
1207.888199,0.875,1342.36,4000,1037.96,312.026316,0,8
87.442862,0.818182,786.32,7500,186.32,97.186371,0.666667,11
123.394089,0.909091,1450.68,6000,0,137.826186,0.454545,12
395.052994,1,1239.46,1500,752.28,177.766827,0,12
1715.459275,1,96.75,1800,34.65,411.612521,0,12
1492.039988,1,4106.15,12000,2688.46,606.899183,0.5,12
636.669685,1,2022.38,6000,1892.38,301.000749,0,12
223.772475,1,3654.08,2500,291.41,180.338402,0.333333,12
1122.603377,1,883.73,3000,457.62,568.410749,0,12
805.131074,1,795.54,1700,167.4,261.258072,0,12
869.001444,1,0,1200,0,286.374289,0,12
4458.055159,1,0,7500,0,1189.693931,0,12
2070.069187,1,1382.57,2400,1077.75,466.772558,0,12
52.229659,1,565.5,8500,0,199.803721,0.25,12
6426.639738,1,4462.86,11800,2816.46,3101.01703,0,12
206.596865,0.363636,1726.67,6000,1726.67,128.834658,0,12
5810.748774,1,217,9000,217,1599.353926,0.166667,12
3872.605467,1,0,4000,0,911.08543,0,12
2597.400267,1,1748.73,6500,518.44,1584.520204,0,12
1481.43247,1,0,1800,0,494.954634,0,12
1135.53683,1,50.98,1200,0,385.347014,0,12
3430.981532,1,378.04,11300,0,4483.503862,0,12
4102.599015,1,1483.12,5000,1085.19,1919.690041,0,12
150.952465,0.727273,6407.67,14500,3725.33,108.937025,0.3,12
3170.537693,0.909091,0,3500,0,1111.251287,0,11
911.281862,1,70,8500,70,218.497636,0,12
45.753138,0.545455,449.96,7000,0,127.78905,0.6,12
456.648662,1,3355.33,6500,2305.33,207.584121,0.363636,12
198.035504,0.545455,0,10000,0,19.492021,0,12
473.840442,0.727273,0,3000,0,164.391437,0,12
285.813075,1,3220.09,15000,2941.39,212.075152,1,12
204.329381,1,6558.55,7000,6558.55,169.703195,0.916667,12
3690.177649,1,0,4000,0,1819.542692,0,12
327.445978,1,4305.05,9500,2905.71,197.534405,0.666667,12
6856.045926,1,262.1,13000,262.1,1998.044046,0,12
155.644239,0.727273,1626.83,13000,828.85,123.522314,0.571429,12
4263.008734,1,3522.57,6000,1482,1520.54755,0,12
10249.71178,1,0,18000,0,2539.198217,0,12
813.185305,1,8194.05,6000,7280.27,216.277252,0.583333,12
911.893997,1,1604.8,4500,1527.3,307.812023,0.083333,12
3563.23692,1,709.9,7000,609.9,817.39586,0,12
12478.17286,1,174,14000,174,3872.099498,0,12
2061.27937,1,0,4500,0,585.776445,0,12
1556.376158,1,0,1700,0,1206.741644,0,12
126.207012,0.636364,913,7500,0,140.181283,1,12
2516.753364,1,606.62,2750,598.95,1342.522124,0,12
1199.942209,1,1447.01,2400,306.31,457.255269,0,12
13479.28821,1,41050.4,17000,40624.06,15914.48462,0.083333,12
80.062693,1,727.27,20000,727.27,206.656437,0.916667,12
839.897907,1,1869.88,4000,815.11,280.393252,0,11
128.175207,0.818182,182.94,5000,0,186.774371,0.3,12
47.6368,0.727273,379.28,2500,0,156.644197,1,12
1529.206464,1,874.94,1500,0,1502.744095,0,12
2643.343414,1,26402.39,16500,22257.39,534.032339,1,12
2924.757622,1,0,3000,0,1187.962476,0,12
5036.870531,1,1752.15,10300,1564.16,1549.64691,0,12
32.042424,0.909091,400.41,4500,0,132.13182,0.666667,12
2549.128288,1,13771.63,14500,4503.31,451.636081,0.25,12
3718.606699,1,1172.68,9500,1172.68,760.028047,0,12
4914.325665,1,1653.6,5000,353.6,3451.70216,0,12
1191.584153,1,4238.79,10500,2220.39,287.515344,0.083333,12
98.420888,1,907.37,10000,907.37,184.723457,1,12
1534.891604,1,0,3000,0,427.594038,0,12
43.42718,1,569.34,16500,0,163.044353,1,12
1874.601636,1,305.78,1500,0,19977.00572,0,12
15258.2259,1,529.3,19000,529.3,3905.740148,0,8
4497.213951,1,2001.19,4500,210.43,5067.863223,0,12
986.149218,0.454545,0,3000,0,706.541302,0,12
257.997181,1,1020.47,6500,185,163.155119,0,12
