nonViolPerPop,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,OwnOccQrange,RentLowQ,RentMedian,RentHighQ,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LandArea,PopDens,PctUsePubTrans,LemasPctOfficDrugUn
2720.49,13132,2.53,0.06,99.21,0.47,0.59,14,25.03,12.83,14.57,0,0,25797,73.95,2.53,56.06,34.35,6.6,12.89,32055,11907,11961,0,9097,5646,1810,863,6.84,16.28,25.41,15.31,3.67,65.62,27.69,20.11,22.67,21.74,6.08,27.56,8.37,7.32,3.04,79.99,81.44,87.19,85.51,81.24,85.52,100,0.87,119,13.45,17.65,26.05,26.05,0.12,0.16,0.24,0.24,91.11,0.42,3.61,2.46,2.43,2.62,1.88,80.28,0.94,38.26,3,180,96.65,74.48,0,40.56,1956,1.5,0.65,39700,53200,68900,29200,171,232,303,132,293,24.9,15.8,11.5,0,0,0.91,83.77,61.36,80.63,93.19,8.9,1481.2,0.08,0
4121.06,13902,2.48,0.26,98.43,0.57,0.51,13.37,25.57,12.28,15.03,0,0,25532,73.4,0.16,40.09,32.59,7.91,19.3,30060,11552,11603,12899,7330,5827,14582,1794,13.05,11.92,32.44,11.71,7.32,58.91,30.64,21.92,25.33,21.82,10.99,25.82,12.69,11.89,2.99,72.11,69.79,69.42,81.96,65.24,73.47,326,2.81,505,8.91,10.69,10.69,14.85,0.32,0.39,0.39,0.54,93.57,0.75,3.36,2.28,2.45,2.61,2.24,61.59,1.75,54.53,2,618,90.08,57.9,2.27,36.41,1951,10.71,0.74,65900,83400,99800,33900,265,376,460,195,430,28,25.8,15.1,6,0,3.63,59.56,47.31,81.66,85.46,44.7,311.1,0.37,0
3096.81,12340,2.59,0.2,95.12,0.49,3.3,13.26,25.03,10.63,11.9,0,0,23296,78.31,4.33,35.07,26.34,5.4,11.44,27207,11004,11286,3189,3897,10708,4781,1844,15.21,10.08,26.9,13.74,4.48,61.27,7.46,20.25,16.59,19.53,11.3,20.95,14.87,13.18,3.05,75.48,74.84,89.01,79.25,57.27,69.11,100,0.97,132,0,0,20.45,20.45,0,0,0.22,0.22,96.36,0.29,3.55,2.54,2.53,2.56,2.48,68.33,3.02,43.79,3,843,84.99,67.59,1.66,63.94,1969,8.11,0.12,27300,40200,58200,30900,170,212,263,93,297,22.1,19.5,11.3,4,0,1.07,66.22,51.26,82.04,92.47,13.5,914.1,0.13,0
2323.73,33467,3,2.86,93.83,2.49,3.63,13.24,23.48,11.79,10.34,30649,91.58,59633,83.87,0.67,61.61,25.15,2.55,18.36,65249,22290,22272,21296,23948,18065,24071,1136,3.46,4.4,11.64,35.9,3.39,66.69,12.7,30.12,5.6,40.02,4.26,27.55,6.32,5.33,3.28,90.91,88.37,95.19,91.37,53.5,66.6,158,0.68,3392,7.13,13.77,18.28,23.14,0.72,1.4,1.85,2.35,88.02,1.08,4.92,4.04,2.92,3.06,2.11,89.54,1.05,31.73,3,724,93.91,85.51,0,53.04,1964,0.2,0.47,182200,216300,255500,73300,473,643,849,376,743,29.3,24.2,15.8,17,0,10.14,77.02,67.65,86.48,94.9,38.1,879.3,7.95,0
8956.25,14669,2.41,42.5,57.03,0.23,0.47,13.33,24.32,12.14,17.75,0,0,19829,71.32,0.47,28.63,36.41,12.54,14.19,25315,11889,15950,6541,0,13329,6631,2747,19.27,16.77,38.97,15.76,8.57,54.03,35.81,21.38,28.15,22.8,12.19,30.17,15.68,14.2,2.96,48.59,44.02,53.46,47.37,61.56,72.71,1346,9.56,167,13.17,30.54,35.33,40.72,0.15,0.35,0.4,0.46,96.47,0.89,4.41,2.89,2.35,2.33,2.36,52.44,2.52,52.66,2,393,93.93,52.75,4.07,37.4,1960,9.54,0.49,37500,52600,77000,39500,159,229,299,140,343,27.9,22.1,13.4,17,0,1.14,79.34,53.44,87.8,93.28,9.1,1612.7,0,0
4727.44,14120,2.67,31.19,64.23,0.59,10.18,13.99,23.94,11.04,13.21,14120,100,27914,75.44,0.55,32.65,30.71,7.28,18.21,31915,12466,14221,8861,4950,21439,9965,2176,15.47,9.78,27.01,12.18,9.79,56.06,16.59,27.82,14.45,22.98,12.13,22.86,15.1,13.7,3.11,67.31,61.95,81.17,69.96,60.18,71.2,328,2.83,404,11.14,24.26,33.91,41.83,0.32,0.69,0.97,1.2,90.42,1.05,5.31,4.02,2.67,2.62,2.79,71.71,4.53,45.01,3,664,88.83,72.99,6.63,61.9,1959,8.64,0.81,35500,47300,63100,27600,238,310,377,139,403,26,18.2,13.1,0,0,2.86,74.01,59.54,89.33,95.23,14.8,956.1,0,0
2590.08,17655,2.65,0.99,98.06,0.62,0.48,13.57,26.76,11.61,8.83,0,0,36652,83.53,1.5,45.42,20.73,3.8,12.08,44967,17445,17455,16835,4789,21055,17965,1308,7.5,6.92,18.89,29.14,2.82,70.06,19.38,20.67,10.91,30.58,9.71,22.66,13.17,11.53,3.1,80.65,80.09,86.27,84.29,68.75,71.97,190,1.44,240,34.17,37.5,37.5,42.08,0.46,0.51,0.51,0.57,97.94,0.55,2.73,2.06,2.63,2.89,2.16,70.25,1.22,44.11,3,478,93.29,63.86,0.21,25.94,1975,5.08,0.32,57300,94900,140700,83400,284,390,459,175,474,24.2,19.9,12.6,14,0,1.36,66.21,41.81,64.06,86.43,9,1972.2,0.06,0
4630.73,66049,2.63,26.41,72.45,0.76,0.72,17.79,29.84,18.19,14.33,66049,100,23726,72.25,0.63,39.06,35.02,7.54,17.2,30141,12657,14721,7200,12833,6139,7231,9889,16.45,13.61,30.52,21.74,5.97,56.27,19.31,31.2,14.92,27.39,9.43,34.52,12.67,11.25,2.98,64,59.7,69.62,69.8,63.78,72.3,2858,5.88,1108,30.69,43.05,47.02,50.54,0.51,0.72,0.79,0.85,96.8,0.35,3.95,2.64,2.39,2.52,2.21,61.35,1.83,47.28,3,2090,92.33,58.2,4.31,40.48,1960,7.07,0.29,38200,56900,80300,42100,179,272,353,174,346,24.7,16.9,12.6,47,0,1.68,70.07,52.6,73.84,86.06,51.2,1290.5,3.33,5.8
1110.39,49848,2.81,2.03,96.07,1.75,0.67,13.05,23.6,12.45,15.8,49892,100,48210,78.9,0.82,67.65,32.9,2.35,20.32,54458,20566,20785,18772,15376,12383,11860,1550,3.18,4.45,12.66,37.63,2.81,63.42,10.2,35.67,6.45,41.11,4.18,31.41,6.82,5.58,3.19,88.62,87.91,98.86,89.2,54.95,64.73,265,0.73,3200,10.16,13.38,18.34,22.06,0.65,0.86,1.18,1.42,90.88,0.88,5.46,4.21,2.74,2.85,2.08,89.05,0.71,16.64,3,490,97.31,85.59,0.41,35.92,1947,0.29,0.07,124900,148700,174500,49600,439,549,777,338,629,27.1,20.7,13.2,109,0,6.41,76.86,69.18,81.73,92.73,10.4,4805.5,8.94,0
7085.89,11590,2.95,4.18,93.8,1.39,1.45,12.78,21.89,10.86,10.76,2258,19.48,65522,84.02,4.79,72.63,26.04,1.71,19.27,71939,29397,30107,10170,17000,16735,48684,202,1.81,3.77,11.44,46.09,2.15,66.38,12.11,37.22,3.89,49.4,5.36,30.76,6.13,5.73,3.12,90.34,89.3,98.02,93.55,59.9,67.26,25,0.32,646,5.42,6.19,8.98,12.38,0.3,0.35,0.5,0.69,91.78,0.71,3.46,2.88,2.83,2.89,2.25,92.45,0.38,13.09,3,147,96.39,90.49,1.36,36.73,1960,0,0.22,174800,228000,327500,152700,454,594,779,325,708,31.3,20.2,13.4,0,0,5.57,58.14,69.96,85.05,92.29,60.2,192.4,2.98,0
5454.72,93613,2.56,2.57,73.69,18.6,15.23,12.82,31.54,15.24,9.11,93613,100,44707,84.92,0.62,49.09,18.5,5.81,13.36,49460,19676,21326,16199,16205,15061,13688,5657,6.23,6.55,16.45,30.77,4.43,70.44,37.74,17.29,9.93,34.44,11.11,40.54,14.67,12.87,3.06,72.88,69.03,86.38,74.03,63.37,70.9,1366,2.33,21501,18.48,29.18,42.02,54.75,4.24,6.7,9.65,12.57,69.77,5.24,6.08,3.82,2.49,2.65,2.35,50.13,9.29,57.35,2,1328,96.49,47.07,1.81,14.31,1964,0.64,0.27,224200,270400,323900,99700,608,737,913,305,779,25.8,22.5,11.3,114,0,22.97,43.7,44.67,74.36,83.76,19,4937.4,2.44,4.17
6113.32,46209,2.58,3.01,79.75,13.16,7.41,25.63,47.53,34.09,5.54,46209,100,29044,86.52,1,59.72,10.9,3.33,10.77,47262,15269,16706,10026,7660,9853,9239,11222,25.47,2.1,5.02,63.78,5.43,63.15,4.16,50.43,4.23,46.94,5.94,55.94,10.19,8.14,2.92,75.19,75.47,89.22,74.67,59.99,70.34,265,1.38,6434,23,30.25,42.45,52.1,3.2,4.21,5.91,7.25,81.86,1.23,2.83,1.79,2.46,2.59,2.38,42.81,5.51,53.15,2,356,98.05,40.77,1.69,13.76,1973,0.84,0.09,150600,191300,244100,93500,449,547,686,237,588,35.1,22,11.1,0,0,13.92,51.48,26.95,46,84.33,8.7,5282.2,3.34,0
6603,46567,3.07,65.65,26.5,1.06,15.02,14.15,29.29,14.33,8.68,46567,100,38463,82.99,0.17,30.78,21.76,9.13,11.85,42238,14742,19070,13496,13027,15418,9252,5604,12.22,10.75,28.56,18.88,8.65,66.65,21.49,23.55,22.05,21.92,10.45,41.87,14.86,12.79,3.49,56.66,47.74,66.46,57.5,73.85,79.1,4120,12.27,7011,22.28,40.08,50.08,58.66,3.35,6.03,7.54,8.83,81.35,6.18,12.9,9.47,3.02,3.23,2.8,54.49,10.44,49.08,3,917,94.29,50.98,5.56,39.48,1948,7.43,0.68,107800,141400,174800,67000,443,558,658,215,627,27,25,15.2,4,16,15.06,50.04,56.58,79.36,88.3,6.3,7442.1,7.17,6.35
7276.96,29541,3.07,6.49,81.8,10.01,3.62,42.25,63.26,52.26,6.66,29541,100,17738,81.57,0.68,51.87,18.13,5.37,11.89,30787,9213,10110,6413,5431,4505,4743,8840,39.35,4.78,13.3,50.16,4.9,48.52,5.28,59.17,5.27,39.62,4.41,76.32,8.42,6.35,2.84,59.38,56.59,74.39,55.74,54.03,66.35,336,3.43,3385,33.59,45.08,55.01,63.28,3.85,5.17,6.3,7.25,82.8,0.85,4.2,3.24,2.26,2.42,2.2,30.88,2.68,56.55,2,458,95.45,28.89,0.44,36.03,1939,4.43,0.11,74700,95600,133300,58600,344,444,608,264,493,35.1,22.2,13.8,10,0,11.46,49.54,21.2,38.32,63.28,5.6,5228.9,6,0
12328.9,139739,2.72,38.89,39.98,1.45,31.59,17.16,34.04,18.02,8.78,139739,100,22140,71.32,0.31,24.55,22.4,21.82,11.6,24774,11081,15140,9661,8364,9807,6169,36397,27.51,18,40.56,14.44,10.73,54.05,15.22,27.13,15.93,21.06,12.64,52.37,17.49,15.22,3.29,35.63,30.32,33.53,38.38,48.87,56.43,21440,20.8,21442,16.61,26.04,36.19,46.66,2.55,4,5.55,7.16,60.57,9.74,9.35,5.67,2.55,2.76,2.49,25.54,9.2,73.14,2,4634,91.74,23.61,6.24,25.51,1949,14.47,1.42,107100,133800,161300,54200,318,443,528,210,504,29.1,23.9,14.8,701,26,15.34,43.76,44.91,79.37,82.12,17.9,7794.8,17.32,11.96
2550.9,20412,2.57,1.15,78.25,16.89,11.17,11.19,22.26,10.56,17.04,20412,100,45999,74.86,0.8,57.29,32.25,2.44,21.98,53055,21764,22916,11580,30387,18201,15730,1085,5.4,6.32,15.9,24.29,3.19,60.09,8.17,21.65,8.21,30.08,7.62,27.36,10.72,9.26,2.98,79.05,77.17,92.59,79.52,51.73,63.9,147,0.97,5362,14.9,23.42,34.17,37.93,3.91,6.15,8.98,9.96,67.45,4.65,4.03,2.99,2.53,2.64,2.34,66.88,5.26,41.1,3,225,97.24,64.12,0.44,20.44,1957,0.38,0.11,323900,410200,500001,176101,629,770,982,353,838,31.6,23.4,11.3,0,0,26.27,51.44,59.1,79.96,90.48,3.3,6133.4,5.08,0
5201.39,65585,2.72,6.57,86.75,3.94,7.69,13.01,28.95,13.89,10.16,65585,100,43832,83.63,0.4,49.41,23.55,3.98,14.1,51144,19300,20370,13148,15530,12004,10780,3599,5.76,10.08,23.53,26.92,5.4,67.83,26.36,21.14,13.42,30.5,8.75,34.16,11.04,9.92,3.16,78.27,74.79,86,84.1,60.18,69.09,1272,2.97,9838,17.87,30.54,38.32,48.44,2.68,4.58,5.75,7.27,79.61,4.76,5.28,3.68,2.6,2.74,2.39,63.38,4.06,49.73,3,1856,92.85,60.09,1.19,37.28,1964,2.26,0.66,156600,190300,238800,82200,425,589,729,304,693,26.5,24,14.5,65,41,15,43.88,52.6,76.88,79.44,43.6,1502.8,2.4,20.74
2166.22,21531,2.85,0.72,98.29,0.54,0.66,13.78,25.83,12.56,7.73,0,0,48986,84.69,1.38,45.67,18.61,3.8,14.46,55524,19373,19398,19855,9298,17331,18727,783,3.63,1.41,7.03,32.79,6.62,70.29,10.3,24.24,7.56,34.49,6.73,31.33,10.23,8.53,3.33,82.55,81.99,92.49,85.67,61.35,70.48,121,0.78,522,8.05,8.05,15.9,16.48,0.2,0.2,0.39,0.4,95.59,0.38,5.38,4.04,2.84,3.02,2.23,82.26,0.94,34.95,3,1320,85.13,77.39,5.68,70.83,1963,0.21,0.23,144500,177000,225900,81400,501,634,746,245,710,29,22.7,14.8,37,1,2.41,77.22,62.02,82.59,93.18,29.5,730.2,2.37,0
3101.3,12361,2.8,17.32,76.3,5.13,3.47,9.53,24.59,8.6,7.48,12361,100,51988,92.12,1.44,55.47,15.47,2.38,13.87,55131,20597,22618,13530,13348,15864,16261,181,1.49,4.13,10.4,41.26,3.47,75.11,10.91,26.71,8.04,41.53,5.78,26.25,10.12,8.01,3.15,86.92,83.67,94.87,91.1,56.27,65.51,82,1.12,867,7.96,13.03,25.72,33.22,0.56,0.91,1.8,2.33,88.66,0.97,4.32,3.33,2.76,2.69,2.95,73.97,1.91,38.38,3,237,94.9,75.66,1.27,38.4,1977,0.79,0.13,131400,167400,209400,78000,572,742,924,352,838,23.9,25.7,12.5,0,0,7.01,50.32,43.38,65.14,76.11,16.2,764.2,3.02,0
2158.42,22792,2.89,0.78,96.87,2,1.35,16.94,27.4,15.95,10.81,17129,75.15,51692,80.77,0.72,54.43,24.52,3.07,15.81,61468,22957,22507,23097,7329,45128,16118,608,2.84,3.89,10.17,40.55,4.45,64.65,21.73,29.4,6.2,42.11,5.7,32.83,8.27,7.07,3.22,84.55,84.43,91.5,85.7,53.76,66.67,167,1.06,1410,6.6,11.49,23.62,36.17,0.41,0.71,1.46,2.24,90.37,1.23,4.54,3.38,2.71,2.98,2.12,75.19,0.72,36.84,3,380,95.41,68.33,0.53,34.47,1967,0.29,0.07,172500,231300,322400,149900,423,647,846,423,734,25.4,22.9,14.2,0,0,6.19,72.2,57.78,77.44,88.92,27.6,824.9,2.06,0
5817.74,52267,2.56,16.27,77.07,1.74,2.67,14.63,28.65,13.56,10.49,52267,100,27042,81.09,0.55,36.47,21.57,5.25,23.94,30909,12687,13638,9211,10094,9289,10361,5807,11.25,5.06,17.72,16.81,6.58,63.72,10.03,22.14,12.95,23.06,12.37,25.01,17.14,14.9,3.06,68.72,64.87,76.18,71.97,68.47,73.52,1307,3.28,1248,16.19,19.95,23.32,32.05,0.39,0.48,0.56,0.77,95.17,0.57,4.14,2.94,2.54,2.59,2.46,64.16,3.69,42.62,3,2456,89.25,62.98,1.59,43.65,1966,5.52,0.38,35700,48300,68200,32500,247,300,366,119,388,24.5,19.3,11.4,27,0,2.39,59.37,51.19,82.27,87.63,25.4,2058.1,0.02,8.79
4295.96,15346,2.71,1.64,91.75,0.22,1.51,15.02,25.71,11.23,9.85,15395,100,28315,78.95,1.5,35.19,24.45,5.66,14.92,34073,12589,13016,6557,8279,4159,5076,1254,8.3,7.49,24.95,14.8,5.44,64.28,23.58,19.76,16.07,24.69,10.25,20.95,15.9,13.27,3.13,77.17,73.01,90.34,79.54,59.06,72.65,100,0.89,84,10.71,10.71,10.71,10.71,0.06,0.06,0.06,0.06,97.63,0.23,3.37,2.6,2.67,2.72,2.53,72.37,2.28,38.99,3,634,89.92,70.89,4.73,64.67,1971,5.4,0.33,41400,55200,73500,32100,188,260,350,162,342,22.3,19.2,12.6,20,0,0.55,68.58,48.61,78.88,91.53,18.9,810.2,0.24,0
4077.64,34213,2.56,3.67,86.07,6.01,10.06,11.4,27,12.31,13.72,34213,100,38507,81.67,0.46,46.09,29.24,4.21,17.61,44980,16899,17322,13605,13600,15290,14314,1770,5.19,10.73,28.98,17.2,5.16,64.3,19.08,20.16,14.41,24.4,7.51,33.71,9.99,8.82,3.13,77.3,74.42,86.24,76.5,58.05,64.21,555,2.5,5177,7.8,18.23,25.9,34.34,1.18,2.76,3.92,5.2,74.65,4.19,5.59,3.87,2.55,2.85,2.21,59.51,4.13,59.62,2,684,95.13,53.25,3.22,30.12,1950,1.09,0.54,135900,163800,187300,51400,453,551,655,202,615,24.2,24.5,15.9,0,0,15.13,69.88,65.14,86.22,94.23,3.5,9872.2,8.86,0
